15:01:52 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=1_2a_toktok_ca).
15:01:52 | INFO    | __main__ | Starting training for 20 epochs...
15:01:52 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
15:07:39 | INFO    | __main__ | Epoch   1/20 | loss=3.1673 | lr=3.96e-03 | 311.9s | R@1=11.1/12.8 R@5=26.1/28.3 mR=25.1
15:07:39 | INFO    | __main__ |   ↑ New best mean recall: 25.07
15:10:48 | INFO    | __main__ | Epoch   2/20 | loss=1.8068 | lr=7.89e-03 | 152.7s | R@1=14.6/16.1 R@5=31.7/33.9 mR=30.1
15:10:48 | INFO    | __main__ |   ↑ New best mean recall: 30.13
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
15:13:30 | INFO    | __main__ | Epoch   3/20 | loss=1.6555 | lr=7.95e-03 | 131.0s | R@1=16.3/18.6 R@5=34.9/37.6 mR=33.2
15:13:30 | INFO    | __main__ |   ↑ New best mean recall: 33.24
15:15:52 | INFO    | __main__ | Epoch   4/20 | loss=1.5834 | lr=7.78e-03 | 116.0s | R@1=17.1/19.1 R@5=36.0/38.0 mR=33.9
15:15:52 | INFO    | __main__ |   ↑ New best mean recall: 33.94
15:18:11 | INFO    | __main__ | Epoch   5/20 | loss=1.5357 | lr=7.50e-03 | 114.9s | R@1=17.7/19.7 R@5=36.5/39.1 mR=34.6
15:18:11 | INFO    | __main__ |   ↑ New best mean recall: 34.62
15:20:27 | INFO    | __main__ | Epoch   6/20 | loss=1.5107 | lr=7.11e-03 | 111.2s | R@1=17.8/20.1 R@5=36.6/39.1 mR=34.8
15:20:27 | INFO    | __main__ |   ↑ New best mean recall: 34.83
15:22:44 | INFO    | __main__ | Epoch   7/20 | loss=1.4895 | lr=6.64e-03 | 113.2s | R@1=18.4/20.5 R@5=37.6/39.9 mR=35.6
15:22:44 | INFO    | __main__ |   ↑ New best mean recall: 35.65
15:25:07 | INFO    | __main__ | Epoch   8/20 | loss=1.4721 | lr=6.09e-03 | 116.1s | R@1=18.1/20.6 R@5=37.6/40.2 mR=35.7
15:25:07 | INFO    | __main__ |   ↑ New best mean recall: 35.69
15:27:22 | INFO    | __main__ | Epoch   9/20 | loss=1.4517 | lr=5.48e-03 | 112.2s | R@1=18.3/20.9 R@5=37.7/40.2 mR=35.8
15:27:22 | INFO    | __main__ |   ↑ New best mean recall: 35.83
15:29:44 | INFO    | __main__ | Epoch  10/20 | loss=1.4413 | lr=4.82e-03 | 111.2s | R@1=18.7/21.0 R@5=38.5/40.7 mR=36.3
15:29:44 | INFO    | __main__ |   ↑ New best mean recall: 36.29
15:32:06 | INFO    | __main__ | Epoch  11/20 | loss=1.4274 | lr=4.14e-03 | 115.8s | R@1=18.5/21.1 R@5=38.2/40.8 mR=36.2
15:34:17 | INFO    | __main__ | Epoch  12/20 | loss=1.4117 | lr=3.46e-03 | 107.6s | R@1=19.0/21.4 R@5=38.6/41.1 mR=36.6
15:34:18 | INFO    | __main__ |   ↑ New best mean recall: 36.62
15:36:44 | INFO    | __main__ | Epoch  13/20 | loss=1.3934 | lr=2.79e-03 | 113.0s | R@1=18.7/21.2 R@5=38.4/40.7 mR=36.3
15:39:09 | INFO    | __main__ | Epoch  14/20 | loss=1.3783 | lr=2.16e-03 | 117.4s | R@1=18.8/21.1 R@5=38.3/40.9 mR=36.4
15:41:24 | INFO    | __main__ | Epoch  15/20 | loss=1.3590 | lr=1.58e-03 | 110.4s | R@1=19.1/21.5 R@5=38.7/41.2 mR=36.7
15:41:24 | INFO    | __main__ |   ↑ New best mean recall: 36.73
15:43:41 | INFO    | __main__ | Epoch  16/20 | loss=1.3405 | lr=1.07e-03 | 111.5s | R@1=19.2/21.5 R@5=39.1/41.5 mR=36.9
15:43:41 | INFO    | __main__ |   ↑ New best mean recall: 36.88
15:46:01 | INFO    | __main__ | Epoch  17/20 | loss=1.3229 | lr=6.50e-04 | 114.8s | R@1=19.5/21.4 R@5=39.0/41.3 mR=36.9
15:46:01 | INFO    | __main__ |   ↑ New best mean recall: 36.90
15:48:22 | INFO    | __main__ | Epoch  18/20 | loss=1.3059 | lr=3.26e-04 | 113.9s | R@1=19.4/21.4 R@5=38.9/41.4 mR=36.9
15:50:39 | INFO    | __main__ | Epoch  19/20 | loss=1.2969 | lr=1.10e-04 | 113.3s | R@1=19.4/21.5 R@5=38.8/41.3 mR=36.9
15:52:48 | INFO    | __main__ | Epoch  20/20 | loss=1.2864 | lr=8.20e-06 | 104.2s | R@1=19.4/21.5 R@5=38.9/41.3 mR=36.9
