01:03:19 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=1_2c_toktok_ca_nocls).
01:03:19 | INFO    | __main__ | Starting training for 20 epochs...
01:03:19 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
01:05:04 | INFO    | __main__ | Epoch   1/20 | loss=3.1671 | lr=3.96e-03 | 86.0s | R@1=11.1/12.8 R@5=26.2/28.3 mR=25.1
01:05:04 | INFO    | __main__ |   ↑ New best mean recall: 25.09
01:06:32 | INFO    | __main__ | Epoch   2/20 | loss=1.8053 | lr=7.89e-03 | 68.4s | R@1=14.5/16.1 R@5=31.7/34.0 mR=30.1
01:06:32 | INFO    | __main__ |   ↑ New best mean recall: 30.13
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
01:08:02 | INFO    | __main__ | Epoch   3/20 | loss=1.6545 | lr=7.95e-03 | 70.4s | R@1=16.4/18.7 R@5=35.0/37.6 mR=33.3
01:08:02 | INFO    | __main__ |   ↑ New best mean recall: 33.31
01:09:20 | INFO    | __main__ | Epoch   4/20 | loss=1.5826 | lr=7.78e-03 | 62.1s | R@1=17.1/19.1 R@5=36.1/38.0 mR=34.0
01:09:20 | INFO    | __main__ |   ↑ New best mean recall: 33.97
01:10:42 | INFO    | __main__ | Epoch   5/20 | loss=1.5351 | lr=7.50e-03 | 64.5s | R@1=17.7/19.7 R@5=36.5/39.1 mR=34.6
01:10:42 | INFO    | __main__ |   ↑ New best mean recall: 34.64
01:12:17 | INFO    | __main__ | Epoch   6/20 | loss=1.5103 | lr=7.11e-03 | 70.1s | R@1=17.8/20.2 R@5=36.6/39.2 mR=34.9
01:12:17 | INFO    | __main__ |   ↑ New best mean recall: 34.89
01:13:45 | INFO    | __main__ | Epoch   7/20 | loss=1.4893 | lr=6.64e-03 | 70.2s | R@1=18.4/20.5 R@5=37.5/40.0 mR=35.6
01:13:45 | INFO    | __main__ |   ↑ New best mean recall: 35.64
01:15:11 | INFO    | __main__ | Epoch   8/20 | loss=1.4717 | lr=6.09e-03 | 71.1s | R@1=18.1/20.7 R@5=37.7/40.1 mR=35.6
01:15:11 | INFO    | __main__ |   ↑ New best mean recall: 35.65
01:16:40 | INFO    | __main__ | Epoch   9/20 | loss=1.4513 | lr=5.48e-03 | 72.1s | R@1=18.3/21.1 R@5=37.5/40.2 mR=35.8
01:16:40 | INFO    | __main__ |   ↑ New best mean recall: 35.83
01:18:09 | INFO    | __main__ | Epoch  10/20 | loss=1.4408 | lr=4.82e-03 | 70.4s | R@1=18.7/21.1 R@5=38.3/40.8 mR=36.3
01:18:09 | INFO    | __main__ |   ↑ New best mean recall: 36.29
01:19:35 | INFO    | __main__ | Epoch  11/20 | loss=1.4271 | lr=4.14e-03 | 68.4s | R@1=18.6/21.0 R@5=38.0/40.7 mR=36.1
01:21:00 | INFO    | __main__ | Epoch  12/20 | loss=1.4111 | lr=3.46e-03 | 68.0s | R@1=19.0/21.4 R@5=38.4/41.1 mR=36.6
01:21:00 | INFO    | __main__ |   ↑ New best mean recall: 36.59
01:22:30 | INFO    | __main__ | Epoch  13/20 | loss=1.3928 | lr=2.79e-03 | 72.6s | R@1=18.8/21.3 R@5=38.3/40.8 mR=36.4
01:23:54 | INFO    | __main__ | Epoch  14/20 | loss=1.3776 | lr=2.16e-03 | 67.4s | R@1=18.8/21.1 R@5=38.3/40.9 mR=36.4
01:25:12 | INFO    | __main__ | Epoch  15/20 | loss=1.3584 | lr=1.58e-03 | 62.8s | R@1=19.1/21.5 R@5=38.7/41.2 mR=36.8
01:25:12 | INFO    | __main__ |   ↑ New best mean recall: 36.77
01:26:39 | INFO    | __main__ | Epoch  16/20 | loss=1.3398 | lr=1.07e-03 | 71.2s | R@1=19.4/21.4 R@5=39.1/41.3 mR=36.9
01:26:39 | INFO    | __main__ |   ↑ New best mean recall: 36.87
01:28:07 | INFO    | __main__ | Epoch  17/20 | loss=1.3222 | lr=6.50e-04 | 71.1s | R@1=19.4/21.5 R@5=38.9/41.3 mR=36.9
01:28:07 | INFO    | __main__ |   ↑ New best mean recall: 36.89
01:29:33 | INFO    | __main__ | Epoch  18/20 | loss=1.3050 | lr=3.26e-04 | 68.5s | R@1=19.4/21.4 R@5=39.0/41.3 mR=36.8
01:31:04 | INFO    | __main__ | Epoch  19/20 | loss=1.2960 | lr=1.10e-04 | 72.0s | R@1=19.4/21.5 R@5=39.0/41.3 mR=36.9
01:32:29 | INFO    | __main__ | Epoch  20/20 | loss=1.2853 | lr=8.20e-06 | 68.5s | R@1=19.4/21.6 R@5=39.0/41.3 mR=36.9
