08:50:59 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=2_1a_soft_nocls).
08:50:59 | INFO    | __main__ | Starting training for 20 epochs...
08:50:59 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
08:54:24 | INFO    | __main__ | Epoch   1/20 | loss=3.1481 | lr=3.96e-03 | 108.8s | R@1=9.3/10.9 R@5=23.4/25.4 mR=22.5
08:54:24 | INFO    | __main__ |   ↑ New best mean recall: 22.49
08:58:00 | INFO    | __main__ | Epoch   2/20 | loss=1.9704 | lr=7.89e-03 | 97.4s | R@1=11.0/12.4 R@5=26.2/28.6 mR=25.2
08:58:00 | INFO    | __main__ |   ↑ New best mean recall: 25.22
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
09:01:37 | INFO    | __main__ | Epoch   3/20 | loss=1.8693 | lr=7.95e-03 | 114.0s | R@1=12.2/14.1 R@5=28.4/31.0 mR=27.4
09:01:37 | INFO    | __main__ |   ↑ New best mean recall: 27.39
09:05:06 | INFO    | __main__ | Epoch   4/20 | loss=1.8211 | lr=7.78e-03 | 110.2s | R@1=12.6/14.1 R@5=29.0/31.3 mR=27.7
09:05:06 | INFO    | __main__ |   ↑ New best mean recall: 27.68
09:08:42 | INFO    | __main__ | Epoch   5/20 | loss=1.7898 | lr=7.50e-03 | 109.0s | R@1=12.9/14.4 R@5=29.4/31.7 mR=28.1
09:08:42 | INFO    | __main__ |   ↑ New best mean recall: 28.09
09:12:07 | INFO    | __main__ | Epoch   6/20 | loss=1.7720 | lr=7.11e-03 | 100.4s | R@1=13.0/14.7 R@5=29.6/32.0 mR=28.3
09:12:07 | INFO    | __main__ |   ↑ New best mean recall: 28.30
09:15:31 | INFO    | __main__ | Epoch   7/20 | loss=1.7585 | lr=6.64e-03 | 101.5s | R@1=13.3/15.1 R@5=30.4/32.6 mR=28.9
09:15:31 | INFO    | __main__ |   ↑ New best mean recall: 28.89
09:19:28 | INFO    | __main__ | Epoch   8/20 | loss=1.7457 | lr=6.09e-03 | 129.7s | R@1=13.2/15.0 R@5=30.3/32.4 mR=28.8
09:23:56 | INFO    | __main__ | Epoch   9/20 | loss=1.7295 | lr=5.48e-03 | 156.4s | R@1=13.5/15.2 R@5=30.6/32.8 mR=29.0
09:23:56 | INFO    | __main__ |   ↑ New best mean recall: 29.04
09:28:53 | INFO    | __main__ | Epoch  10/20 | loss=1.7198 | lr=4.82e-03 | 176.8s | R@1=13.4/15.1 R@5=30.2/32.7 mR=28.9
09:33:43 | INFO    | __main__ | Epoch  11/20 | loss=1.7109 | lr=4.14e-03 | 169.6s | R@1=13.5/15.1 R@5=30.2/33.0 mR=29.0
09:38:43 | INFO    | __main__ | Epoch  12/20 | loss=1.6943 | lr=3.46e-03 | 178.3s | R@1=13.6/15.5 R@5=30.8/33.4 mR=29.4
09:38:43 | INFO    | __main__ |   ↑ New best mean recall: 29.39
09:43:37 | INFO    | __main__ | Epoch  13/20 | loss=1.6773 | lr=2.79e-03 | 171.7s | R@1=13.7/15.3 R@5=30.6/33.3 mR=29.3
09:48:13 | INFO    | __main__ | Epoch  14/20 | loss=1.6630 | lr=2.16e-03 | 166.0s | R@1=13.6/15.5 R@5=31.1/33.2 mR=29.4
09:48:13 | INFO    | __main__ |   ↑ New best mean recall: 29.44
09:53:04 | INFO    | __main__ | Epoch  15/20 | loss=1.6414 | lr=1.58e-03 | 167.8s | R@1=13.9/15.7 R@5=31.2/33.7 mR=29.8
09:53:04 | INFO    | __main__ |   ↑ New best mean recall: 29.83
09:57:49 | INFO    | __main__ | Epoch  16/20 | loss=1.6235 | lr=1.07e-03 | 163.5s | R@1=13.9/15.7 R@5=31.5/33.7 mR=29.9
09:57:49 | INFO    | __main__ |   ↑ New best mean recall: 29.89
10:02:36 | INFO    | __main__ | Epoch  17/20 | loss=1.6064 | lr=6.50e-04 | 163.2s | R@1=14.0/15.8 R@5=31.5/33.8 mR=29.9
10:06:35 | INFO    | __main__ | Epoch  18/20 | loss=1.5886 | lr=3.26e-04 | 123.6s | R@1=14.0/15.7 R@5=31.5/33.8 mR=29.9
10:06:35 | INFO    | __main__ |   ↑ New best mean recall: 29.93
10:11:17 | INFO    | __main__ | Epoch  19/20 | loss=1.5787 | lr=1.10e-04 | 130.3s | R@1=13.9/15.7 R@5=31.5/33.6 mR=29.9
10:16:18 | INFO    | __main__ | Epoch  20/20 | loss=1.5690 | lr=8.20e-06 | 155.5s | R@1=14.0/15.7 R@5=31.6/33.7 mR=29.9
10:16:18 | INFO    | __main__ |   ↑ New best mean recall: 29.95
