00:36:29 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=tau_sweep_0.01).
00:36:29 | INFO    | __main__ | Starting training for 20 epochs...
00:36:29 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
00:40:37 | INFO    | __main__ | Epoch   1/20 | loss=3.7040 | lr=3.96e-03 | 218.8s | R@1=8.9/9.6 R@5=21.7/22.5 mR=20.5
00:40:37 | INFO    | __main__ |   ↑ New best mean recall: 20.50
00:44:01 | INFO    | __main__ | Epoch   2/20 | loss=1.8840 | lr=7.89e-03 | 176.2s | R@1=13.1/14.0 R@5=29.7/30.6 mR=27.7
00:44:02 | INFO    | __main__ |   ↑ New best mean recall: 27.66
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
00:47:45 | INFO    | __main__ | Epoch   3/20 | loss=1.7094 | lr=7.95e-03 | 190.4s | R@1=14.8/16.5 R@5=32.3/33.8 mR=30.4
00:47:46 | INFO    | __main__ |   ↑ New best mean recall: 30.43
00:51:27 | INFO    | __main__ | Epoch   4/20 | loss=1.6259 | lr=7.78e-03 | 190.5s | R@1=15.4/16.7 R@5=33.6/34.6 mR=31.2
00:51:27 | INFO    | __main__ |   ↑ New best mean recall: 31.20
00:55:09 | INFO    | __main__ | Epoch   5/20 | loss=1.5695 | lr=7.50e-03 | 189.3s | R@1=15.6/16.9 R@5=33.8/35.3 mR=31.7
00:55:10 | INFO    | __main__ |   ↑ New best mean recall: 31.66
00:59:02 | INFO    | __main__ | Epoch   6/20 | loss=1.5400 | lr=7.11e-03 | 198.4s | R@1=15.9/16.9 R@5=34.1/35.2 mR=31.7
00:59:03 | INFO    | __main__ |   ↑ New best mean recall: 31.73
01:02:50 | INFO    | __main__ | Epoch   7/20 | loss=1.5128 | lr=6.64e-03 | 192.7s | R@1=16.1/17.4 R@5=34.7/35.9 mR=32.2
01:02:51 | INFO    | __main__ |   ↑ New best mean recall: 32.25
01:06:51 | INFO    | __main__ | Epoch   8/20 | loss=1.4912 | lr=6.09e-03 | 206.7s | R@1=16.1/17.7 R@5=34.8/36.1 mR=32.5
01:06:52 | INFO    | __main__ |   ↑ New best mean recall: 32.48
01:10:34 | INFO    | __main__ | Epoch   9/20 | loss=1.4662 | lr=5.48e-03 | 185.1s | R@1=15.8/17.6 R@5=34.6/36.0 mR=32.3
01:14:32 | INFO    | __main__ | Epoch  10/20 | loss=1.4503 | lr=4.82e-03 | 200.3s | R@1=16.3/17.9 R@5=35.1/36.3 mR=32.7
01:14:33 | INFO    | __main__ |   ↑ New best mean recall: 32.73
01:18:45 | INFO    | __main__ | Epoch  11/20 | loss=1.4334 | lr=4.14e-03 | 218.9s | R@1=16.3/17.7 R@5=34.9/36.0 mR=32.5
01:22:37 | INFO    | __main__ | Epoch  12/20 | loss=1.4106 | lr=3.46e-03 | 199.2s | R@1=16.1/17.9 R@5=34.9/36.3 mR=32.6
01:26:20 | INFO    | __main__ | Epoch  13/20 | loss=1.3860 | lr=2.79e-03 | 188.8s | R@1=16.4/17.9 R@5=35.2/36.6 mR=32.8
01:26:21 | INFO    | __main__ |   ↑ New best mean recall: 32.85
01:30:25 | INFO    | __main__ | Epoch  14/20 | loss=1.3677 | lr=2.16e-03 | 210.2s | R@1=16.2/17.9 R@5=35.0/36.3 mR=32.7
01:34:21 | INFO    | __main__ | Epoch  15/20 | loss=1.3416 | lr=1.58e-03 | 200.3s | R@1=16.2/18.0 R@5=35.2/36.3 mR=32.7
01:38:09 | INFO    | __main__ | Epoch  16/20 | loss=1.3181 | lr=1.07e-03 | 191.9s | R@1=16.3/18.1 R@5=35.1/36.3 mR=32.7
01:42:07 | INFO    | __main__ | Epoch  17/20 | loss=1.2970 | lr=6.50e-04 | 207.3s | R@1=16.3/17.9 R@5=35.1/36.4 mR=32.7
01:45:32 | INFO    | __main__ | Epoch  18/20 | loss=1.2769 | lr=3.26e-04 | 174.6s | R@1=16.2/17.8 R@5=35.0/36.2 mR=32.5
01:49:05 | INFO    | __main__ | Epoch  19/20 | loss=1.2646 | lr=1.10e-04 | 183.5s | R@1=16.2/17.9 R@5=35.0/36.3 mR=32.5
01:52:48 | INFO    | __main__ | Epoch  20/20 | loss=1.2526 | lr=8.20e-06 | 191.3s | R@1=16.2/17.9 R@5=35.0/36.3 mR=32.6
