03:50:26 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=k512_tau_0.07).
03:50:26 | INFO    | __main__ | Starting training for 20 epochs...
03:50:26 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
03:53:58 | INFO    | __main__ | Epoch   1/20 | loss=3.0171 | lr=3.96e-03 | 184.7s | R@1=12.0/13.7 R@5=27.5/30.0 mR=26.5
03:53:58 | INFO    | __main__ |   ↑ New best mean recall: 26.49
03:57:33 | INFO    | __main__ | Epoch   2/20 | loss=1.8072 | lr=7.89e-03 | 184.7s | R@1=15.8/17.7 R@5=33.6/36.2 mR=32.1
03:57:34 | INFO    | __main__ |   ↑ New best mean recall: 32.12
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
04:00:53 | INFO    | __main__ | Epoch   3/20 | loss=1.6562 | lr=7.95e-03 | 169.9s | R@1=17.9/20.7 R@5=37.2/40.2 mR=35.5
04:00:54 | INFO    | __main__ |   ↑ New best mean recall: 35.52
04:04:23 | INFO    | __main__ | Epoch   4/20 | loss=1.5903 | lr=7.78e-03 | 179.6s | R@1=18.9/21.1 R@5=38.6/40.9 mR=36.5
04:04:23 | INFO    | __main__ |   ↑ New best mean recall: 36.45
04:08:35 | INFO    | __main__ | Epoch   5/20 | loss=1.5512 | lr=7.50e-03 | 219.9s | R@1=19.5/21.8 R@5=39.3/41.8 mR=37.2
04:08:35 | INFO    | __main__ |   ↑ New best mean recall: 37.20
04:12:28 | INFO    | __main__ | Epoch   6/20 | loss=1.5328 | lr=7.11e-03 | 204.0s | R@1=19.7/22.3 R@5=39.4/42.2 mR=37.5
04:12:28 | INFO    | __main__ |   ↑ New best mean recall: 37.50
04:15:55 | INFO    | __main__ | Epoch   7/20 | loss=1.5174 | lr=6.64e-03 | 176.7s | R@1=20.0/22.8 R@5=40.4/43.0 mR=38.2
04:15:55 | INFO    | __main__ |   ↑ New best mean recall: 38.15
04:19:43 | INFO    | __main__ | Epoch   8/20 | loss=1.5017 | lr=6.09e-03 | 198.4s | R@1=19.9/22.8 R@5=40.2/43.2 mR=38.2
04:19:44 | INFO    | __main__ |   ↑ New best mean recall: 38.20
04:23:19 | INFO    | __main__ | Epoch   9/20 | loss=1.4829 | lr=5.48e-03 | 185.9s | R@1=20.4/22.9 R@5=40.2/43.5 mR=38.4
04:23:19 | INFO    | __main__ |   ↑ New best mean recall: 38.38
04:26:37 | INFO    | __main__ | Epoch  10/20 | loss=1.4696 | lr=4.82e-03 | 166.8s | R@1=20.8/23.4 R@5=41.1/43.8 mR=39.0
04:26:37 | INFO    | __main__ |   ↑ New best mean recall: 39.00
04:30:17 | INFO    | __main__ | Epoch  11/20 | loss=1.4591 | lr=4.14e-03 | 189.5s | R@1=20.3/23.4 R@5=40.6/43.7 mR=38.7
04:33:46 | INFO    | __main__ | Epoch  12/20 | loss=1.4395 | lr=3.46e-03 | 178.1s | R@1=21.0/24.0 R@5=41.5/44.3 mR=39.4
04:33:46 | INFO    | __main__ |   ↑ New best mean recall: 39.41
04:37:31 | INFO    | __main__ | Epoch  13/20 | loss=1.4146 | lr=2.79e-03 | 192.6s | R@1=21.0/24.0 R@5=41.7/44.4 mR=39.5
04:37:31 | INFO    | __main__ |   ↑ New best mean recall: 39.51
04:41:25 | INFO    | __main__ | Epoch  14/20 | loss=1.3960 | lr=2.16e-03 | 203.6s | R@1=21.0/23.9 R@5=41.8/44.5 mR=39.6
04:41:25 | INFO    | __main__ |   ↑ New best mean recall: 39.58
04:45:20 | INFO    | __main__ | Epoch  15/20 | loss=1.3662 | lr=1.58e-03 | 202.2s | R@1=21.6/24.4 R@5=42.4/44.7 mR=40.0
04:45:20 | INFO    | __main__ |   ↑ New best mean recall: 40.04
04:49:13 | INFO    | __main__ | Epoch  16/20 | loss=1.3366 | lr=1.07e-03 | 201.7s | R@1=21.5/24.3 R@5=42.4/44.9 mR=40.1
04:49:14 | INFO    | __main__ |   ↑ New best mean recall: 40.08
04:53:08 | INFO    | __main__ | Epoch  17/20 | loss=1.3078 | lr=6.50e-04 | 202.0s | R@1=21.6/24.6 R@5=42.7/45.0 mR=40.3
04:53:09 | INFO    | __main__ |   ↑ New best mean recall: 40.29
04:57:34 | INFO    | __main__ | Epoch  18/20 | loss=1.2791 | lr=3.26e-04 | 233.8s | R@1=21.8/24.6 R@5=42.8/45.0 mR=40.3
04:57:34 | INFO    | __main__ |   ↑ New best mean recall: 40.35
05:01:19 | INFO    | __main__ | Epoch  19/20 | loss=1.2587 | lr=1.10e-04 | 194.3s | R@1=21.8/24.6 R@5=42.8/45.0 mR=40.3
05:05:38 | INFO    | __main__ | Epoch  20/20 | loss=1.2410 | lr=8.20e-06 | 225.9s | R@1=21.8/24.6 R@5=42.9/45.0 mR=40.4
05:05:38 | INFO    | __main__ |   ↑ New best mean recall: 40.37
