10:08:28 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=cap_ortho_0.1).
10:08:28 | INFO    | __main__ | Starting training for 20 epochs...
10:08:28 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.100 lb=0.000
10:11:23 | INFO    | __main__ | Epoch   1/20 | loss=3.1675 | lr=3.96e-03 | 149.5s | R@1=11.1/12.8 R@5=26.2/28.3 mR=25.1
10:11:23 | INFO    | __main__ |   ↑ New best mean recall: 25.06
10:14:12 | INFO    | __main__ | Epoch   2/20 | loss=1.8074 | lr=7.89e-03 | 142.1s | R@1=14.6/16.1 R@5=31.7/33.9 mR=30.1
10:14:12 | INFO    | __main__ |   ↑ New best mean recall: 30.14
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
10:16:42 | INFO    | __main__ | Epoch   3/20 | loss=1.6564 | lr=7.95e-03 | 127.1s | R@1=16.3/18.6 R@5=34.9/37.6 mR=33.2
10:16:42 | INFO    | __main__ |   ↑ New best mean recall: 33.25
10:19:12 | INFO    | __main__ | Epoch   4/20 | loss=1.5842 | lr=7.78e-03 | 127.1s | R@1=17.0/19.1 R@5=36.0/38.0 mR=33.9
10:19:12 | INFO    | __main__ |   ↑ New best mean recall: 33.93
10:21:48 | INFO    | __main__ | Epoch   5/20 | loss=1.5365 | lr=7.50e-03 | 131.9s | R@1=17.7/19.7 R@5=36.5/39.0 mR=34.6
10:21:48 | INFO    | __main__ |   ↑ New best mean recall: 34.62
10:24:22 | INFO    | __main__ | Epoch   6/20 | loss=1.5114 | lr=7.11e-03 | 129.1s | R@1=17.8/20.1 R@5=36.6/39.0 mR=34.8
10:24:22 | INFO    | __main__ |   ↑ New best mean recall: 34.84
10:26:59 | INFO    | __main__ | Epoch   7/20 | loss=1.4903 | lr=6.64e-03 | 132.2s | R@1=18.4/20.5 R@5=37.6/40.0 mR=35.6
10:26:59 | INFO    | __main__ |   ↑ New best mean recall: 35.65
10:29:29 | INFO    | __main__ | Epoch   8/20 | loss=1.4728 | lr=6.09e-03 | 128.0s | R@1=18.1/20.6 R@5=37.6/40.2 mR=35.7
10:29:29 | INFO    | __main__ |   ↑ New best mean recall: 35.68
10:32:33 | INFO    | __main__ | Epoch   9/20 | loss=1.4524 | lr=5.48e-03 | 158.4s | R@1=18.3/20.9 R@5=37.6/40.2 mR=35.8
10:32:33 | INFO    | __main__ |   ↑ New best mean recall: 35.80
10:34:50 | INFO    | __main__ | Epoch  10/20 | loss=1.4420 | lr=4.82e-03 | 111.8s | R@1=18.7/21.0 R@5=38.5/40.7 mR=36.3
10:34:51 | INFO    | __main__ |   ↑ New best mean recall: 36.28
10:37:11 | INFO    | __main__ | Epoch  11/20 | loss=1.4281 | lr=4.14e-03 | 116.6s | R@1=18.5/21.0 R@5=38.2/40.8 mR=36.2
10:39:36 | INFO    | __main__ | Epoch  12/20 | loss=1.4123 | lr=3.46e-03 | 121.8s | R@1=18.9/21.4 R@5=38.5/41.1 mR=36.6
10:39:36 | INFO    | __main__ |   ↑ New best mean recall: 36.61
10:42:10 | INFO    | __main__ | Epoch  13/20 | loss=1.3941 | lr=2.79e-03 | 131.4s | R@1=18.7/21.2 R@5=38.4/40.7 mR=36.3
10:44:43 | INFO    | __main__ | Epoch  14/20 | loss=1.3789 | lr=2.16e-03 | 129.3s | R@1=18.8/21.1 R@5=38.4/40.9 mR=36.4
10:47:17 | INFO    | __main__ | Epoch  15/20 | loss=1.3597 | lr=1.58e-03 | 128.7s | R@1=19.1/21.5 R@5=38.7/41.2 mR=36.7
10:47:17 | INFO    | __main__ |   ↑ New best mean recall: 36.71
10:49:45 | INFO    | __main__ | Epoch  16/20 | loss=1.3412 | lr=1.07e-03 | 119.5s | R@1=19.2/21.4 R@5=39.1/41.4 mR=36.9
10:49:45 | INFO    | __main__ |   ↑ New best mean recall: 36.87
10:52:05 | INFO    | __main__ | Epoch  17/20 | loss=1.3235 | lr=6.50e-04 | 108.3s | R@1=19.5/21.4 R@5=38.9/41.3 mR=36.9
10:52:05 | INFO    | __main__ |   ↑ New best mean recall: 36.89
10:54:11 | INFO    | __main__ | Epoch  18/20 | loss=1.3065 | lr=3.26e-04 | 101.6s | R@1=19.4/21.4 R@5=38.9/41.4 mR=36.9
10:56:21 | INFO    | __main__ | Epoch  19/20 | loss=1.2975 | lr=1.10e-04 | 108.3s | R@1=19.4/21.5 R@5=38.8/41.3 mR=36.9
10:58:26 | INFO    | __main__ | Epoch  20/20 | loss=1.2870 | lr=8.20e-06 | 103.3s | R@1=19.4/21.5 R@5=38.9/41.3 mR=36.9
