12:14:59 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=k128_cap_fps).
12:14:59 | INFO    | __main__ | Starting training for 20 epochs...
12:14:59 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
12:20:58 | INFO    | __main__ | Epoch   1/20 | loss=3.4998 | lr=3.96e-03 | 312.0s | R@1=10.6/12.4 R@5=25.3/27.6 mR=24.4
12:20:58 | INFO    | __main__ |   ↑ New best mean recall: 24.39
12:26:04 | INFO    | __main__ | Epoch   2/20 | loss=1.8062 | lr=7.89e-03 | 272.6s | R@1=15.0/16.8 R@5=32.5/34.9 mR=31.0
12:26:04 | INFO    | __main__ |   ↑ New best mean recall: 31.00
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
12:30:46 | INFO    | __main__ | Epoch   3/20 | loss=1.6478 | lr=7.95e-03 | 255.8s | R@1=16.6/19.0 R@5=35.4/38.3 mR=33.8
12:30:46 | INFO    | __main__ |   ↑ New best mean recall: 33.78
12:35:06 | INFO    | __main__ | Epoch   4/20 | loss=1.5792 | lr=7.78e-03 | 228.2s | R@1=17.7/19.3 R@5=36.5/38.5 mR=34.4
12:35:07 | INFO    | __main__ |   ↑ New best mean recall: 34.44
12:40:56 | INFO    | __main__ | Epoch   5/20 | loss=1.5350 | lr=7.50e-03 | 326.7s | R@1=17.9/20.1 R@5=37.2/39.6 mR=35.2
12:40:56 | INFO    | __main__ |   ↑ New best mean recall: 35.19
12:47:33 | INFO    | __main__ | Epoch   6/20 | loss=1.5129 | lr=7.11e-03 | 372.7s | R@1=17.9/19.8 R@5=36.9/39.3 mR=34.9
12:52:30 | INFO    | __main__ | Epoch   7/20 | loss=1.4928 | lr=6.64e-03 | 269.6s | R@1=18.5/20.3 R@5=37.7/39.9 mR=35.7
12:52:30 | INFO    | __main__ |   ↑ New best mean recall: 35.65
12:56:59 | INFO    | __main__ | Epoch   8/20 | loss=1.4772 | lr=6.09e-03 | 243.7s | R@1=18.2/20.5 R@5=37.6/39.9 mR=35.6
13:02:31 | INFO    | __main__ | Epoch   9/20 | loss=1.4566 | lr=5.48e-03 | 305.2s | R@1=18.4/20.6 R@5=37.6/40.1 mR=35.6
13:08:40 | INFO    | __main__ | Epoch  10/20 | loss=1.4462 | lr=4.82e-03 | 341.5s | R@1=18.7/21.1 R@5=38.1/40.6 mR=36.2
13:08:41 | INFO    | __main__ |   ↑ New best mean recall: 36.15
13:15:12 | INFO    | __main__ | Epoch  11/20 | loss=1.4322 | lr=4.14e-03 | 368.0s | R@1=18.6/20.9 R@5=37.9/40.3 mR=35.9
13:21:19 | INFO    | __main__ | Epoch  12/20 | loss=1.4163 | lr=3.46e-03 | 338.2s | R@1=18.9/21.0 R@5=38.5/40.9 mR=36.4
13:21:19 | INFO    | __main__ |   ↑ New best mean recall: 36.39
13:26:41 | INFO    | __main__ | Epoch  13/20 | loss=1.3966 | lr=2.79e-03 | 298.1s | R@1=19.0/21.1 R@5=38.3/40.7 mR=36.3
13:32:33 | INFO    | __main__ | Epoch  14/20 | loss=1.3806 | lr=2.16e-03 | 321.6s | R@1=18.9/20.8 R@5=38.5/40.5 mR=36.3
13:38:59 | INFO    | __main__ | Epoch  15/20 | loss=1.3609 | lr=1.58e-03 | 354.6s | R@1=19.4/21.2 R@5=38.8/40.9 mR=36.7
13:38:59 | INFO    | __main__ |   ↑ New best mean recall: 36.70
13:43:58 | INFO    | __main__ | Epoch  16/20 | loss=1.3409 | lr=1.07e-03 | 267.8s | R@1=19.1/21.3 R@5=38.9/41.1 mR=36.7
13:43:59 | INFO    | __main__ |   ↑ New best mean recall: 36.71
13:49:18 | INFO    | __main__ | Epoch  17/20 | loss=1.3223 | lr=6.50e-04 | 292.2s | R@1=19.3/21.2 R@5=39.0/41.0 mR=36.8
13:49:22 | INFO    | __main__ |   ↑ New best mean recall: 36.76
13:54:50 | INFO    | __main__ | Epoch  18/20 | loss=1.3053 | lr=3.26e-04 | 301.2s | R@1=19.4/21.2 R@5=39.0/40.9 mR=36.7
13:59:40 | INFO    | __main__ | Epoch  19/20 | loss=1.2953 | lr=1.10e-04 | 261.2s | R@1=19.3/21.2 R@5=39.0/40.9 mR=36.7
14:06:13 | INFO    | __main__ | Epoch  20/20 | loss=1.2849 | lr=8.20e-06 | 365.7s | R@1=19.3/21.2 R@5=39.0/40.9 mR=36.7
