12:29:24 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=k512_cap_kmeans).
12:29:26 | INFO    | __main__ | Starting training for 20 epochs...
12:29:26 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
12:34:47 | INFO    | __main__ | Epoch   1/20 | loss=3.6661 | lr=3.96e-03 | 294.1s | R@1=11.5/13.2 R@5=26.7/29.2 mR=25.7
12:34:48 | INFO    | __main__ |   ↑ New best mean recall: 25.66
12:41:32 | INFO    | __main__ | Epoch   2/20 | loss=1.7392 | lr=7.89e-03 | 378.4s | R@1=17.9/20.4 R@5=37.2/40.0 mR=35.3
12:41:32 | INFO    | __main__ |   ↑ New best mean recall: 35.30
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
12:48:39 | INFO    | __main__ | Epoch   3/20 | loss=1.5889 | lr=7.95e-03 | 399.1s | R@1=19.4/23.3 R@5=39.6/43.3 mR=38.0
12:48:39 | INFO    | __main__ |   ↑ New best mean recall: 38.00
12:52:45 | INFO    | __main__ | Epoch   4/20 | loss=1.5334 | lr=7.78e-03 | 221.7s | R@1=20.4/23.2 R@5=40.8/43.7 mR=38.7
12:52:45 | INFO    | __main__ |   ↑ New best mean recall: 38.68
12:56:50 | INFO    | __main__ | Epoch   5/20 | loss=1.5006 | lr=7.50e-03 | 217.9s | R@1=20.5/23.5 R@5=41.2/44.0 mR=39.0
12:56:50 | INFO    | __main__ |   ↑ New best mean recall: 39.03
13:02:33 | INFO    | __main__ | Epoch   6/20 | loss=1.4858 | lr=7.11e-03 | 314.0s | R@1=20.7/24.0 R@5=41.1/44.2 mR=39.1
13:02:34 | INFO    | __main__ |   ↑ New best mean recall: 39.12
13:10:11 | INFO    | __main__ | Epoch   7/20 | loss=1.4688 | lr=6.64e-03 | 433.1s | R@1=21.2/24.3 R@5=42.1/44.9 mR=39.9
13:10:11 | INFO    | __main__ |   ↑ New best mean recall: 39.86
13:17:22 | INFO    | __main__ | Epoch   8/20 | loss=1.4482 | lr=6.09e-03 | 402.7s | R@1=20.9/24.5 R@5=41.9/45.0 mR=39.8
13:23:22 | INFO    | __main__ | Epoch   9/20 | loss=1.4268 | lr=5.48e-03 | 333.0s | R@1=21.8/24.8 R@5=42.4/45.3 mR=40.2
13:23:23 | INFO    | __main__ |   ↑ New best mean recall: 40.22
13:28:48 | INFO    | __main__ | Epoch  10/20 | loss=1.4062 | lr=4.82e-03 | 299.8s | R@1=22.1/25.0 R@5=43.3/45.7 mR=40.8
13:28:48 | INFO    | __main__ |   ↑ New best mean recall: 40.75
13:35:14 | INFO    | __main__ | Epoch  11/20 | loss=1.3914 | lr=4.14e-03 | 357.5s | R@1=21.6/24.8 R@5=42.2/45.6 mR=40.3
13:39:35 | INFO    | __main__ | Epoch  12/20 | loss=1.3657 | lr=3.46e-03 | 239.1s | R@1=22.1/25.4 R@5=43.2/46.1 mR=41.0
13:39:35 | INFO    | __main__ |   ↑ New best mean recall: 40.99
13:44:00 | INFO    | __main__ | Epoch  13/20 | loss=1.3324 | lr=2.79e-03 | 238.5s | R@1=22.3/25.3 R@5=43.4/46.3 mR=41.1
13:44:00 | INFO    | __main__ |   ↑ New best mean recall: 41.14
13:49:28 | INFO    | __main__ | Epoch  14/20 | loss=1.3060 | lr=2.16e-03 | 303.4s | R@1=22.2/25.3 R@5=43.4/46.3 mR=41.1
13:56:07 | INFO    | __main__ | Epoch  15/20 | loss=1.2672 | lr=1.58e-03 | 374.2s | R@1=22.7/25.9 R@5=44.2/46.7 mR=41.7
13:56:07 | INFO    | __main__ |   ↑ New best mean recall: 41.74
14:02:42 | INFO    | __main__ | Epoch  16/20 | loss=1.2292 | lr=1.07e-03 | 368.1s | R@1=22.7/25.8 R@5=43.9/46.5 mR=41.6
14:06:58 | INFO    | __main__ | Epoch  17/20 | loss=1.1929 | lr=6.50e-04 | 227.9s | R@1=22.8/25.8 R@5=44.3/46.6 mR=41.7
14:09:59 | INFO    | __main__ | Epoch  18/20 | loss=1.1576 | lr=3.26e-04 | 156.0s | R@1=22.9/25.8 R@5=44.2/46.5 mR=41.7
14:12:10 | INFO    | __main__ | Epoch  19/20 | loss=1.1325 | lr=1.10e-04 | 103.2s | R@1=22.9/25.7 R@5=44.3/46.3 mR=41.6
14:14:23 | INFO    | __main__ | Epoch  20/20 | loss=1.1123 | lr=8.20e-06 | 108.0s | R@1=23.0/25.8 R@5=44.3/46.4 mR=41.7
