06:43:03 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=k512_learnable_tau).
06:43:03 | INFO    | __main__ | Starting training for 20 epochs...
06:43:03 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
06:46:05 | INFO    | __main__ | Epoch   1/20 | loss=3.0405 τ=0.0545[0.0448,0.0583] | lr=3.96e-03 | 150.6s | R@1=12.9/14.5 R@5=29.1/31.4 mR=27.7
06:46:05 | INFO    | __main__ |   ↑ New best mean recall: 27.75
06:48:55 | INFO    | __main__ | Epoch   2/20 | loss=1.7677 τ=0.0658[0.0296,0.0840] | lr=7.89e-03 | 143.1s | R@1=16.7/18.6 R@5=35.3/37.4 mR=33.3
06:48:55 | INFO    | __main__ |   ↑ New best mean recall: 33.31
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
06:51:10 | INFO    | __main__ | Epoch   3/20 | loss=1.6280 τ=0.0820[0.0240,0.1350] | lr=7.95e-03 | 112.0s | R@1=18.4/21.0 R@5=37.9/40.8 mR=36.1
06:51:10 | INFO    | __main__ |   ↑ New best mean recall: 36.09
06:53:45 | INFO    | __main__ | Epoch   4/20 | loss=1.5743 τ=0.1015[0.0228,0.2081] | lr=7.78e-03 | 122.2s | R@1=19.1/21.1 R@5=38.8/41.2 mR=36.6
06:53:45 | INFO    | __main__ |   ↑ New best mean recall: 36.61
06:56:02 | INFO    | __main__ | Epoch   5/20 | loss=1.5421 τ=0.1260[0.0224,0.3054] | lr=7.50e-03 | 110.9s | R@1=19.6/21.9 R@5=39.7/41.8 mR=37.4
06:56:02 | INFO    | __main__ |   ↑ New best mean recall: 37.36
06:58:27 | INFO    | __main__ | Epoch   6/20 | loss=1.5270 τ=0.1567[0.0220,0.4148] | lr=7.11e-03 | 119.5s | R@1=19.7/22.1 R@5=39.6/42.2 mR=37.5
06:58:28 | INFO    | __main__ |   ↑ New best mean recall: 37.50
07:01:12 | INFO    | __main__ | Epoch   7/20 | loss=1.5135 τ=0.1925[0.0218,0.5260] | lr=6.64e-03 | 134.6s | R@1=20.1/22.7 R@5=40.2/42.8 mR=38.1
07:01:12 | INFO    | __main__ |   ↑ New best mean recall: 38.06
07:04:03 | INFO    | __main__ | Epoch   8/20 | loss=1.4989 τ=0.2308[0.0217,0.6278] | lr=6.09e-03 | 142.2s | R@1=20.1/22.7 R@5=40.2/43.0 mR=38.2
07:04:03 | INFO    | __main__ |   ↑ New best mean recall: 38.16
07:06:51 | INFO    | __main__ | Epoch   9/20 | loss=1.4798 τ=0.2689[0.0215,0.7130] | lr=5.48e-03 | 139.9s | R@1=20.3/23.0 R@5=40.4/43.3 mR=38.3
07:06:51 | INFO    | __main__ |   ↑ New best mean recall: 38.32
