08:56:20 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=cls_prior_C).
08:56:20 | INFO    | __main__ | Starting training for 20 epochs...
08:56:20 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
08:59:13 | INFO    | __main__ | Epoch   1/20 | loss=3.1662 | lr=3.96e-03 | 149.6s | R@1=10.8/12.1 R@5=25.6/27.8 mR=24.6
08:59:14 | INFO    | __main__ |   ↑ New best mean recall: 24.58
09:02:08 | INFO    | __main__ | Epoch   2/20 | loss=1.8077 | lr=7.89e-03 | 144.2s | R@1=14.6/16.1 R@5=32.0/34.0 mR=30.3
09:02:08 | INFO    | __main__ |   ↑ New best mean recall: 30.27
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
09:04:19 | INFO    | __main__ | Epoch   3/20 | loss=1.6497 | lr=7.95e-03 | 107.8s | R@1=16.8/19.1 R@5=35.4/38.2 mR=33.8
09:04:19 | INFO    | __main__ |   ↑ New best mean recall: 33.76
09:06:52 | INFO    | __main__ | Epoch   4/20 | loss=1.5761 | lr=7.78e-03 | 128.9s | R@1=17.4/19.5 R@5=36.4/38.7 mR=34.4
09:06:52 | INFO    | __main__ |   ↑ New best mean recall: 34.42
09:09:49 | INFO    | __main__ | Epoch   5/20 | loss=1.5284 | lr=7.50e-03 | 145.8s | R@1=18.1/20.1 R@5=37.1/39.5 mR=35.2
09:09:49 | INFO    | __main__ |   ↑ New best mean recall: 35.20
09:12:55 | INFO    | __main__ | Epoch   6/20 | loss=1.5039 | lr=7.11e-03 | 160.7s | R@1=18.5/20.6 R@5=37.4/40.0 mR=35.5
09:12:55 | INFO    | __main__ |   ↑ New best mean recall: 35.54
09:15:46 | INFO    | __main__ | Epoch   7/20 | loss=1.4815 | lr=6.64e-03 | 145.4s | R@1=18.5/20.7 R@5=38.3/40.4 mR=36.0
09:15:46 | INFO    | __main__ |   ↑ New best mean recall: 36.03
09:18:33 | INFO    | __main__ | Epoch   8/20 | loss=1.4652 | lr=6.09e-03 | 144.2s | R@1=18.6/20.7 R@5=38.2/40.4 mR=36.1
09:18:33 | INFO    | __main__ |   ↑ New best mean recall: 36.05
09:21:43 | INFO    | __main__ | Epoch   9/20 | loss=1.4442 | lr=5.48e-03 | 163.6s | R@1=18.7/21.2 R@5=38.3/40.9 mR=36.3
09:21:43 | INFO    | __main__ |   ↑ New best mean recall: 36.34
09:24:36 | INFO    | __main__ | Epoch  10/20 | loss=1.4339 | lr=4.82e-03 | 149.2s | R@1=19.1/21.4 R@5=39.0/41.3 mR=36.8
09:24:36 | INFO    | __main__ |   ↑ New best mean recall: 36.81
09:27:03 | INFO    | __main__ | Epoch  11/20 | loss=1.4202 | lr=4.14e-03 | 123.9s | R@1=18.9/21.3 R@5=38.5/41.1 mR=36.5
09:29:54 | INFO    | __main__ | Epoch  12/20 | loss=1.4038 | lr=3.46e-03 | 133.7s | R@1=19.2/21.7 R@5=39.1/41.4 mR=37.0
09:29:54 | INFO    | __main__ |   ↑ New best mean recall: 37.00
09:32:07 | INFO    | __main__ | Epoch  13/20 | loss=1.3852 | lr=2.79e-03 | 111.0s | R@1=19.2/21.6 R@5=39.1/41.4 mR=36.9
09:34:18 | INFO    | __main__ | Epoch  14/20 | loss=1.3693 | lr=2.16e-03 | 106.9s | R@1=19.2/21.4 R@5=38.9/41.2 mR=36.8
09:36:40 | INFO    | __main__ | Epoch  15/20 | loss=1.3504 | lr=1.58e-03 | 115.9s | R@1=19.5/21.8 R@5=39.3/41.9 mR=37.3
09:36:40 | INFO    | __main__ |   ↑ New best mean recall: 37.27
09:38:58 | INFO    | __main__ | Epoch  16/20 | loss=1.3310 | lr=1.07e-03 | 115.3s | R@1=19.5/21.8 R@5=39.4/41.8 mR=37.3
09:38:58 | INFO    | __main__ |   ↑ New best mean recall: 37.32
09:41:29 | INFO    | __main__ | Epoch  17/20 | loss=1.3135 | lr=6.50e-04 | 128.7s | R@1=19.7/21.9 R@5=39.6/41.7 mR=37.4
09:41:29 | INFO    | __main__ |   ↑ New best mean recall: 37.39
09:43:58 | INFO    | __main__ | Epoch  18/20 | loss=1.2967 | lr=3.26e-04 | 117.3s | R@1=19.7/21.7 R@5=39.6/41.7 mR=37.3
09:46:40 | INFO    | __main__ | Epoch  19/20 | loss=1.2868 | lr=1.10e-04 | 138.6s | R@1=19.6/21.7 R@5=39.6/41.7 mR=37.3
09:48:52 | INFO    | __main__ | Epoch  20/20 | loss=1.2757 | lr=8.20e-06 | 111.3s | R@1=19.6/21.7 R@5=39.7/41.8 mR=37.3
