09:49:53 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=cls_prior_A_0.5).
09:49:53 | INFO    | __main__ | Starting training for 20 epochs...
09:49:53 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
09:51:50 | INFO    | __main__ | Epoch   1/20 | loss=3.1461 | lr=3.96e-03 | 89.6s | R@1=11.2/12.8 R@5=26.3/28.5 mR=25.2
09:51:50 | INFO    | __main__ |   ↑ New best mean recall: 25.24
09:53:49 | INFO    | __main__ | Epoch   2/20 | loss=1.7976 | lr=7.89e-03 | 95.6s | R@1=14.6/16.2 R@5=31.7/34.0 mR=30.2
09:53:49 | INFO    | __main__ |   ↑ New best mean recall: 30.21
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
09:56:08 | INFO    | __main__ | Epoch   3/20 | loss=1.6477 | lr=7.95e-03 | 102.0s | R@1=16.5/18.8 R@5=35.3/37.8 mR=33.5
09:56:08 | INFO    | __main__ |   ↑ New best mean recall: 33.55
09:58:03 | INFO    | __main__ | Epoch   4/20 | loss=1.5766 | lr=7.78e-03 | 93.6s | R@1=17.4/19.3 R@5=36.4/38.5 mR=34.3
09:58:03 | INFO    | __main__ |   ↑ New best mean recall: 34.32
10:00:21 | INFO    | __main__ | Epoch   5/20 | loss=1.5298 | lr=7.50e-03 | 113.7s | R@1=17.8/19.9 R@5=36.5/39.4 mR=34.9
10:00:21 | INFO    | __main__ |   ↑ New best mean recall: 34.91
10:02:44 | INFO    | __main__ | Epoch   6/20 | loss=1.5055 | lr=7.11e-03 | 118.3s | R@1=17.9/20.2 R@5=37.1/39.6 mR=35.2
10:02:44 | INFO    | __main__ |   ↑ New best mean recall: 35.17
10:05:03 | INFO    | __main__ | Epoch   7/20 | loss=1.4840 | lr=6.64e-03 | 115.8s | R@1=18.3/20.6 R@5=37.8/39.9 mR=35.7
10:05:03 | INFO    | __main__ |   ↑ New best mean recall: 35.73
10:07:13 | INFO    | __main__ | Epoch   8/20 | loss=1.4669 | lr=6.09e-03 | 107.6s | R@1=18.2/20.5 R@5=37.9/40.3 mR=35.8
10:07:13 | INFO    | __main__ |   ↑ New best mean recall: 35.78
10:09:22 | INFO    | __main__ | Epoch   9/20 | loss=1.4464 | lr=5.48e-03 | 106.2s | R@1=18.4/20.9 R@5=37.9/40.4 mR=35.9
10:09:22 | INFO    | __main__ |   ↑ New best mean recall: 35.92
10:11:17 | INFO    | __main__ | Epoch  10/20 | loss=1.4359 | lr=4.82e-03 | 96.0s | R@1=18.7/21.1 R@5=38.6/40.9 mR=36.4
10:11:17 | INFO    | __main__ |   ↑ New best mean recall: 36.40
10:13:16 | INFO    | __main__ | Epoch  11/20 | loss=1.4221 | lr=4.14e-03 | 95.4s | R@1=18.6/21.1 R@5=38.1/40.5 mR=36.2
10:15:10 | INFO    | __main__ | Epoch  12/20 | loss=1.4064 | lr=3.46e-03 | 93.8s | R@1=19.1/21.2 R@5=38.7/41.0 mR=36.6
10:15:10 | INFO    | __main__ |   ↑ New best mean recall: 36.63
10:17:10 | INFO    | __main__ | Epoch  13/20 | loss=1.3878 | lr=2.79e-03 | 97.7s | R@1=18.8/21.2 R@5=38.4/41.0 mR=36.4
10:19:12 | INFO    | __main__ | Epoch  14/20 | loss=1.3722 | lr=2.16e-03 | 98.6s | R@1=18.6/21.1 R@5=38.4/41.0 mR=36.4
10:20:59 | INFO    | __main__ | Epoch  15/20 | loss=1.3527 | lr=1.58e-03 | 88.3s | R@1=19.1/21.5 R@5=39.0/41.2 mR=36.8
10:20:59 | INFO    | __main__ |   ↑ New best mean recall: 36.80
10:22:49 | INFO    | __main__ | Epoch  16/20 | loss=1.3336 | lr=1.07e-03 | 90.9s | R@1=19.2/21.3 R@5=39.1/41.2 mR=36.8
10:22:49 | INFO    | __main__ |   ↑ New best mean recall: 36.82
10:24:46 | INFO    | __main__ | Epoch  17/20 | loss=1.3163 | lr=6.50e-04 | 94.8s | R@1=19.3/21.5 R@5=39.3/41.2 mR=36.9
10:24:46 | INFO    | __main__ |   ↑ New best mean recall: 36.87
10:26:44 | INFO    | __main__ | Epoch  18/20 | loss=1.2991 | lr=3.26e-04 | 94.8s | R@1=19.3/21.3 R@5=39.1/41.3 mR=36.8
10:28:41 | INFO    | __main__ | Epoch  19/20 | loss=1.2896 | lr=1.10e-04 | 97.7s | R@1=19.2/21.4 R@5=39.1/41.2 mR=36.8
10:30:45 | INFO    | __main__ | Epoch  20/20 | loss=1.2786 | lr=8.20e-06 | 96.9s | R@1=19.2/21.4 R@5=39.2/41.4 mR=36.9
