10:47:32 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=k128_cls_prior_init0.0).
10:47:32 | INFO    | __main__ | Starting training for 20 epochs...
10:47:32 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
10:50:00 | INFO    | __main__ | Epoch   1/20 | loss=3.1654 | lr=3.96e-03 | 125.2s | R@1=11.2/12.8 R@5=26.3/28.5 mR=25.2
10:50:00 | INFO    | __main__ |   ↑ New best mean recall: 25.17
10:52:13 | INFO    | __main__ | Epoch   2/20 | loss=1.8025 | lr=7.89e-03 | 107.2s | R@1=14.6/16.3 R@5=31.8/34.2 mR=30.3
10:52:13 | INFO    | __main__ |   ↑ New best mean recall: 30.32
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
10:54:56 | INFO    | __main__ | Epoch   3/20 | loss=1.6498 | lr=7.95e-03 | 127.0s | R@1=16.6/18.9 R@5=35.5/37.9 mR=33.6
10:54:56 | INFO    | __main__ |   ↑ New best mean recall: 33.59
10:57:51 | INFO    | __main__ | Epoch   4/20 | loss=1.5770 | lr=7.78e-03 | 147.5s | R@1=17.4/19.2 R@5=36.4/38.4 mR=34.2
10:57:51 | INFO    | __main__ |   ↑ New best mean recall: 34.25
11:00:29 | INFO    | __main__ | Epoch   5/20 | loss=1.5288 | lr=7.50e-03 | 129.0s | R@1=17.9/19.9 R@5=37.0/39.4 mR=35.0
11:00:29 | INFO    | __main__ |   ↑ New best mean recall: 34.98
11:02:46 | INFO    | __main__ | Epoch   6/20 | loss=1.5030 | lr=7.11e-03 | 113.6s | R@1=17.9/20.2 R@5=37.0/39.6 mR=35.1
11:02:46 | INFO    | __main__ |   ↑ New best mean recall: 35.13
11:05:10 | INFO    | __main__ | Epoch   7/20 | loss=1.4816 | lr=6.64e-03 | 120.3s | R@1=18.6/20.7 R@5=37.9/40.2 mR=35.9
11:05:10 | INFO    | __main__ |   ↑ New best mean recall: 35.87
11:07:51 | INFO    | __main__ | Epoch   8/20 | loss=1.4636 | lr=6.09e-03 | 134.7s | R@1=18.6/21.0 R@5=38.0/40.4 mR=36.0
11:07:51 | INFO    | __main__ |   ↑ New best mean recall: 35.96
11:10:35 | INFO    | __main__ | Epoch   9/20 | loss=1.4432 | lr=5.48e-03 | 139.6s | R@1=18.6/21.2 R@5=37.9/40.6 mR=36.1
11:10:35 | INFO    | __main__ |   ↑ New best mean recall: 36.08
11:13:02 | INFO    | __main__ | Epoch  10/20 | loss=1.4324 | lr=4.82e-03 | 123.6s | R@1=19.1/21.2 R@5=38.7/41.1 mR=36.6
11:13:02 | INFO    | __main__ |   ↑ New best mean recall: 36.61
11:15:31 | INFO    | __main__ | Epoch  11/20 | loss=1.4184 | lr=4.14e-03 | 120.1s | R@1=18.9/21.3 R@5=38.4/40.9 mR=36.4
11:18:10 | INFO    | __main__ | Epoch  12/20 | loss=1.4024 | lr=3.46e-03 | 134.3s | R@1=19.3/21.8 R@5=38.8/41.4 mR=36.9
11:18:10 | INFO    | __main__ |   ↑ New best mean recall: 36.88
11:20:34 | INFO    | __main__ | Epoch  13/20 | loss=1.3837 | lr=2.79e-03 | 120.4s | R@1=19.1/21.5 R@5=38.6/41.2 mR=36.7
11:22:43 | INFO    | __main__ | Epoch  14/20 | loss=1.3682 | lr=2.16e-03 | 107.0s | R@1=19.3/21.3 R@5=38.7/41.1 mR=36.7
11:25:07 | INFO    | __main__ | Epoch  15/20 | loss=1.3487 | lr=1.58e-03 | 120.3s | R@1=19.5/21.6 R@5=39.0/41.5 mR=37.0
11:25:07 | INFO    | __main__ |   ↑ New best mean recall: 36.98
11:27:10 | INFO    | __main__ | Epoch  16/20 | loss=1.3297 | lr=1.07e-03 | 100.9s | R@1=19.5/21.8 R@5=39.3/41.7 mR=37.1
11:27:10 | INFO    | __main__ |   ↑ New best mean recall: 37.14
11:29:16 | INFO    | __main__ | Epoch  17/20 | loss=1.3121 | lr=6.50e-04 | 103.1s | R@1=19.7/21.7 R@5=39.2/41.8 mR=37.2
11:29:16 | INFO    | __main__ |   ↑ New best mean recall: 37.19
11:31:34 | INFO    | __main__ | Epoch  18/20 | loss=1.2947 | lr=3.26e-04 | 118.2s | R@1=19.9/21.6 R@5=39.3/41.6 mR=37.1
11:33:39 | INFO    | __main__ | Epoch  19/20 | loss=1.2856 | lr=1.10e-04 | 102.8s | R@1=19.8/21.7 R@5=39.2/41.6 mR=37.1
11:35:49 | INFO    | __main__ | Epoch  20/20 | loss=1.2749 | lr=8.20e-06 | 105.9s | R@1=19.8/21.7 R@5=39.3/41.6 mR=37.1
