01:54:10 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=group_sep_4g_wide).
01:54:10 | INFO    | __main__ | Starting training for 20 epochs...
01:54:10 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
01:56:52 | INFO    | __main__ | Epoch   1/20 | loss=3.1121 | lr=3.96e-03 | 134.5s | R@1=13.1/14.4 R@5=29.8/31.4 mR=28.1
01:56:53 | INFO    | __main__ |   ↑ New best mean recall: 28.05
02:01:12 | INFO    | __main__ | Epoch   2/20 | loss=1.7523 | lr=7.89e-03 | 231.6s | R@1=17.5/19.4 R@5=36.4/38.5 mR=34.4
02:01:13 | INFO    | __main__ |   ↑ New best mean recall: 34.38
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
02:04:20 | INFO    | __main__ | Epoch   3/20 | loss=1.6075 | lr=7.95e-03 | 158.8s | R@1=19.1/22.1 R@5=39.1/41.9 mR=37.1
02:04:20 | INFO    | __main__ |   ↑ New best mean recall: 37.11
02:07:04 | INFO    | __main__ | Epoch   4/20 | loss=1.5442 | lr=7.78e-03 | 136.1s | R@1=19.7/22.1 R@5=39.8/42.5 mR=37.6
02:07:04 | INFO    | __main__ |   ↑ New best mean recall: 37.62
02:09:47 | INFO    | __main__ | Epoch   5/20 | loss=1.5051 | lr=7.50e-03 | 137.4s | R@1=20.6/22.9 R@5=40.6/43.0 mR=38.5
02:09:47 | INFO    | __main__ |   ↑ New best mean recall: 38.46
02:12:27 | INFO    | __main__ | Epoch   6/20 | loss=1.4870 | lr=7.11e-03 | 128.2s | R@1=20.7/23.2 R@5=41.0/43.2 mR=38.7
02:12:27 | INFO    | __main__ |   ↑ New best mean recall: 38.65
02:15:17 | INFO    | __main__ | Epoch   7/20 | loss=1.4706 | lr=6.64e-03 | 143.9s | R@1=20.8/23.3 R@5=41.3/44.1 mR=39.1
02:15:17 | INFO    | __main__ |   ↑ New best mean recall: 39.07
02:17:55 | INFO    | __main__ | Epoch   8/20 | loss=1.4533 | lr=6.09e-03 | 133.1s | R@1=20.8/23.7 R@5=41.6/44.0 mR=39.3
02:17:55 | INFO    | __main__ |   ↑ New best mean recall: 39.26
02:20:59 | INFO    | __main__ | Epoch   9/20 | loss=1.4331 | lr=5.48e-03 | 155.5s | R@1=21.3/23.9 R@5=41.8/44.2 mR=39.5
02:20:59 | INFO    | __main__ |   ↑ New best mean recall: 39.50
02:23:43 | INFO    | __main__ | Epoch  10/20 | loss=1.4178 | lr=4.82e-03 | 136.8s | R@1=21.7/24.2 R@5=42.7/44.8 mR=40.1
02:23:43 | INFO    | __main__ |   ↑ New best mean recall: 40.14
02:26:21 | INFO    | __main__ | Epoch  11/20 | loss=1.4052 | lr=4.14e-03 | 129.2s | R@1=21.3/24.0 R@5=41.9/44.6 mR=39.6
02:29:04 | INFO    | __main__ | Epoch  12/20 | loss=1.3825 | lr=3.46e-03 | 136.1s | R@1=21.8/24.6 R@5=42.8/45.0 mR=40.3
02:29:04 | INFO    | __main__ |   ↑ New best mean recall: 40.28
02:31:47 | INFO    | __main__ | Epoch  13/20 | loss=1.3547 | lr=2.79e-03 | 136.3s | R@1=21.9/24.6 R@5=42.9/45.3 mR=40.5
02:31:47 | INFO    | __main__ |   ↑ New best mean recall: 40.45
02:35:44 | INFO    | __main__ | Epoch  14/20 | loss=1.3329 | lr=2.16e-03 | 211.5s | R@1=21.6/24.7 R@5=42.9/45.0 mR=40.3
02:38:23 | INFO    | __main__ | Epoch  15/20 | loss=1.2988 | lr=1.58e-03 | 131.7s | R@1=22.4/24.9 R@5=43.5/45.5 mR=40.8
02:38:23 | INFO    | __main__ |   ↑ New best mean recall: 40.84
02:41:01 | INFO    | __main__ | Epoch  16/20 | loss=1.2657 | lr=1.07e-03 | 131.1s | R@1=22.2/24.9 R@5=43.3/45.6 mR=40.8
02:43:42 | INFO    | __main__ | Epoch  17/20 | loss=1.2342 | lr=6.50e-04 | 135.1s | R@1=22.4/24.9 R@5=43.6/45.4 mR=40.9
02:43:42 | INFO    | __main__ |   ↑ New best mean recall: 40.89
02:46:21 | INFO    | __main__ | Epoch  18/20 | loss=1.2029 | lr=3.26e-04 | 132.1s | R@1=22.6/25.0 R@5=43.7/45.4 mR=40.9
02:46:21 | INFO    | __main__ |   ↑ New best mean recall: 40.92
02:48:58 | INFO    | __main__ | Epoch  19/20 | loss=1.1802 | lr=1.10e-04 | 131.2s | R@1=22.5/24.9 R@5=43.6/45.3 mR=40.9
02:51:25 | INFO    | __main__ | Epoch  20/20 | loss=1.1614 | lr=8.20e-06 | 124.9s | R@1=22.7/24.9 R@5=43.7/45.4 mR=40.9
