10:08:22 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=vitg_roberta_k512).
10:08:22 | INFO    | __main__ | Starting training for 20 epochs...
10:08:22 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
10:17:04 | INFO    | __main__ | Epoch   1/20 | loss=3.4775 | lr=4.37e-03 | 480.5s | R@1=11.5/11.9 R@5=25.6/26.7 mR=24.1
10:17:06 | INFO    | __main__ |   ↑ New best mean recall: 24.13
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
10:22:21 | INFO    | __main__ | Epoch   2/20 | loss=1.7367 | lr=8.00e-03 | 268.9s | R@1=16.0/17.5 R@5=33.1/35.5 mR=31.5
10:22:22 | INFO    | __main__ |   ↑ New best mean recall: 31.52
10:26:24 | INFO    | __main__ | Epoch   3/20 | loss=1.6429 | lr=7.91e-03 | 201.9s | R@1=17.9/19.6 R@5=35.9/38.6 mR=34.2
10:26:24 | INFO    | __main__ |   ↑ New best mean recall: 34.19
10:30:37 | INFO    | __main__ | Epoch   4/20 | loss=1.6024 | lr=7.67e-03 | 214.6s | R@1=18.3/20.6 R@5=36.6/39.9 mR=35.1
10:30:37 | INFO    | __main__ |   ↑ New best mean recall: 35.14
10:34:48 | INFO    | __main__ | Epoch   5/20 | loss=1.5930 | lr=7.31e-03 | 211.6s | R@1=18.4/20.9 R@5=36.9/40.0 mR=35.3
10:34:48 | INFO    | __main__ |   ↑ New best mean recall: 35.27
10:39:05 | INFO    | __main__ | Epoch   6/20 | loss=1.5667 | lr=6.83e-03 | 215.2s | R@1=18.6/21.5 R@5=36.6/41.2 mR=35.8
10:39:05 | INFO    | __main__ |   ↑ New best mean recall: 35.83
10:43:07 | INFO    | __main__ | Epoch   7/20 | loss=1.5569 | lr=6.25e-03 | 203.0s | R@1=19.3/21.1 R@5=38.1/40.7 mR=36.2
10:43:07 | INFO    | __main__ |   ↑ New best mean recall: 36.18
10:47:16 | INFO    | __main__ | Epoch   8/20 | loss=1.5261 | lr=5.59e-03 | 211.6s | R@1=19.0/22.1 R@5=37.3/41.7 mR=36.3
10:47:16 | INFO    | __main__ |   ↑ New best mean recall: 36.29
10:51:37 | INFO    | __main__ | Epoch   9/20 | loss=1.5031 | lr=4.87e-03 | 223.6s | R@1=19.2/22.0 R@5=38.1/42.4 mR=36.9
10:51:38 | INFO    | __main__ |   ↑ New best mean recall: 36.91
10:55:49 | INFO    | __main__ | Epoch  10/20 | loss=1.4670 | lr=4.12e-03 | 215.6s | R@1=20.5/23.4 R@5=39.6/43.6 mR=38.3
10:55:49 | INFO    | __main__ |   ↑ New best mean recall: 38.28
11:00:07 | INFO    | __main__ | Epoch  11/20 | loss=1.4464 | lr=3.37e-03 | 218.7s | R@1=20.8/24.1 R@5=40.1/45.0 mR=39.1
11:00:07 | INFO    | __main__ |   ↑ New best mean recall: 39.10
11:04:32 | INFO    | __main__ | Epoch  12/20 | loss=1.4061 | lr=2.64e-03 | 228.0s | R@1=21.3/24.2 R@5=41.0/45.4 mR=39.6
11:04:32 | INFO    | __main__ |   ↑ New best mean recall: 39.56
11:08:50 | INFO    | __main__ | Epoch  13/20 | loss=1.3532 | lr=1.96e-03 | 221.2s | R@1=21.7/25.2 R@5=41.6/46.0 mR=40.2
11:08:50 | INFO    | __main__ |   ↑ New best mean recall: 40.25
11:20:09 | INFO    | __main__ | Epoch  14/20 | loss=1.3035 | lr=1.35e-03 | 640.4s | R@1=22.2/25.4 R@5=42.2/47.1 mR=40.9
11:20:09 | INFO    | __main__ |   ↑ New best mean recall: 40.94
11:34:55 | INFO    | __main__ | Epoch  15/20 | loss=1.2464 | lr=8.31e-04 | 848.8s | R@1=23.0/26.0 R@5=43.1/47.6 mR=41.6
11:34:55 | INFO    | __main__ |   ↑ New best mean recall: 41.61
11:58:16 | INFO    | __main__ | Epoch  16/20 | loss=1.1888 | lr=4.29e-04 | 1361.2s | R@1=23.6/26.6 R@5=44.1/48.2 mR=42.4
11:58:16 | INFO    | __main__ |   ↑ New best mean recall: 42.36
12:33:45 | INFO    | __main__ | Epoch  17/20 | loss=1.1316 | lr=1.54e-04 | 2087.9s | R@1=23.5/26.7 R@5=44.0/48.4 mR=42.4
12:33:45 | INFO    | __main__ |   ↑ New best mean recall: 42.39
13:08:41 | INFO    | __main__ | Epoch  18/20 | loss=1.0890 | lr=1.61e-05 | 2053.8s | R@1=23.6/26.8 R@5=44.1/48.5 mR=42.5
13:08:41 | INFO    | __main__ |   ↑ New best mean recall: 42.54
13:41:39 | INFO    | __main__ | Epoch  19/20 | loss=1.0682 | lr=1.97e-05 | 1929.3s | R@1=23.6/26.9 R@5=44.2/48.5 mR=42.6
13:41:39 | INFO    | __main__ |   ↑ New best mean recall: 42.58
14:16:48 | INFO    | __main__ | Epoch  20/20 | loss=1.0781 | lr=1.65e-04 | 2069.2s | R@1=23.5/26.8 R@5=43.9/48.4 mR=42.4
