11:40:39 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=mask_4g_safety).
11:40:39 | INFO    | __main__ | Starting training for 20 epochs...
11:40:39 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
11:54:15 | INFO    | __main__ | Epoch   1/20 | loss=3.0915 | lr=3.96e-03 | 785.5s | R@1=11.8/13.2 R@5=27.1/29.4 mR=26.0
11:54:15 | INFO    | __main__ |   ↑ New best mean recall: 25.97
12:10:18 | INFO    | __main__ | Epoch   2/20 | loss=1.8102 | lr=7.89e-03 | 934.9s | R@1=15.7/17.6 R@5=33.7/35.9 mR=32.0
12:10:19 | INFO    | __main__ |   ↑ New best mean recall: 32.02
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
12:22:24 | INFO    | __main__ | Epoch   3/20 | loss=1.6592 | lr=7.95e-03 | 697.5s | R@1=17.6/20.1 R@5=36.8/39.7 mR=35.1
12:22:25 | INFO    | __main__ |   ↑ New best mean recall: 35.09
12:33:48 | INFO    | __main__ | Epoch   4/20 | loss=1.5973 | lr=7.78e-03 | 653.2s | R@1=18.1/20.3 R@5=37.5/40.2 mR=35.6
12:33:49 | INFO    | __main__ |   ↑ New best mean recall: 35.57
12:42:18 | INFO    | __main__ | Epoch   5/20 | loss=1.5601 | lr=7.50e-03 | 481.2s | R@1=18.7/20.8 R@5=38.5/40.9 mR=36.3
12:42:18 | INFO    | __main__ |   ↑ New best mean recall: 36.29
12:57:27 | INFO    | __main__ | Epoch   6/20 | loss=1.5446 | lr=7.11e-03 | 879.1s | R@1=18.8/21.2 R@5=38.6/41.0 mR=36.5
12:57:27 | INFO    | __main__ |   ↑ New best mean recall: 36.45
13:11:08 | INFO    | __main__ | Epoch   7/20 | loss=1.5286 | lr=6.64e-03 | 794.0s | R@1=19.4/21.6 R@5=39.3/41.7 mR=37.1
13:11:09 | INFO    | __main__ |   ↑ New best mean recall: 37.09
13:23:35 | INFO    | __main__ | Epoch   8/20 | loss=1.5132 | lr=6.09e-03 | 719.1s | R@1=19.1/21.6 R@5=39.4/41.9 mR=37.1
13:23:35 | INFO    | __main__ |   ↑ New best mean recall: 37.14
13:34:59 | INFO    | __main__ | Epoch   9/20 | loss=1.4939 | lr=5.48e-03 | 657.5s | R@1=19.5/22.0 R@5=39.4/41.7 mR=37.2
13:34:59 | INFO    | __main__ |   ↑ New best mean recall: 37.25
13:42:51 | INFO    | __main__ | Epoch  10/20 | loss=1.4804 | lr=4.82e-03 | 443.4s | R@1=19.9/22.1 R@5=40.0/42.4 mR=37.7
13:42:51 | INFO    | __main__ |   ↑ New best mean recall: 37.75
13:57:22 | INFO    | __main__ | Epoch  11/20 | loss=1.4691 | lr=4.14e-03 | 841.8s | R@1=19.6/22.0 R@5=39.4/42.1 mR=37.5
14:12:39 | INFO    | __main__ | Epoch  12/20 | loss=1.4478 | lr=3.46e-03 | 890.4s | R@1=20.0/22.7 R@5=40.3/42.8 mR=38.1
14:12:39 | INFO    | __main__ |   ↑ New best mean recall: 38.09
14:22:07 | INFO    | __main__ | Epoch  13/20 | loss=1.4210 | lr=2.79e-03 | 542.9s | R@1=20.1/22.3 R@5=40.3/42.8 mR=38.1
14:25:56 | INFO    | __main__ | Epoch  14/20 | loss=1.4004 | lr=2.16e-03 | 200.1s | R@1=20.1/22.4 R@5=40.4/42.7 mR=38.1
14:25:56 | INFO    | __main__ |   ↑ New best mean recall: 38.09
14:28:56 | INFO    | __main__ | Epoch  15/20 | loss=1.3686 | lr=1.58e-03 | 149.7s | R@1=20.6/22.8 R@5=41.1/43.2 mR=38.6
14:28:56 | INFO    | __main__ |   ↑ New best mean recall: 38.61
14:32:54 | INFO    | __main__ | Epoch  16/20 | loss=1.3375 | lr=1.07e-03 | 209.7s | R@1=20.7/23.0 R@5=41.1/43.6 mR=38.8
14:32:54 | INFO    | __main__ |   ↑ New best mean recall: 38.81
14:41:03 | INFO    | __main__ | Epoch  17/20 | loss=1.3071 | lr=6.50e-04 | 461.9s | R@1=20.6/22.9 R@5=41.1/43.5 mR=38.7
14:52:06 | INFO    | __main__ | Epoch  18/20 | loss=1.2766 | lr=3.26e-04 | 637.0s | R@1=20.8/22.9 R@5=41.1/43.4 mR=38.8
15:03:53 | INFO    | __main__ | Epoch  19/20 | loss=1.2554 | lr=1.10e-04 | 678.8s | R@1=20.8/22.8 R@5=41.2/43.4 mR=38.8
15:15:04 | INFO    | __main__ | Epoch  20/20 | loss=1.2372 | lr=8.20e-06 | 641.0s | R@1=20.8/22.9 R@5=41.2/43.4 mR=38.8
15:15:04 | INFO    | __main__ |   ↑ New best mean recall: 38.82
