12:00:32 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=k512_cap_50ep).
12:00:36 | INFO    | __main__ | Starting training for 50 epochs...
12:00:36 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
12:13:54 | INFO    | __main__ | Epoch   1/50 | loss=3.0398 | lr=3.96e-03 | 772.1s | R@1=13.0/14.6 R@5=29.4/31.6 mR=27.9
12:13:55 | INFO    | __main__ |   ↑ New best mean recall: 27.94
12:27:18 | INFO    | __main__ | Epoch   2/50 | loss=1.7594 | lr=7.89e-03 | 777.8s | R@1=17.2/19.1 R@5=36.0/38.2 mR=34.0
12:27:18 | INFO    | __main__ |   ↑ New best mean recall: 34.04
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
12:39:37 | INFO    | __main__ | Epoch   3/50 | loss=1.6079 | lr=7.99e-03 | 713.2s | R@1=19.1/22.4 R@5=39.0/42.4 mR=37.4
12:39:38 | INFO    | __main__ |   ↑ New best mean recall: 37.35
12:51:00 | INFO    | __main__ | Epoch   4/50 | loss=1.5452 | lr=7.97e-03 | 657.4s | R@1=20.1/22.5 R@5=40.3/42.8 mR=38.0
12:51:00 | INFO    | __main__ |   ↑ New best mean recall: 38.05
13:01:19 | INFO    | __main__ | Epoch   5/50 | loss=1.5096 | lr=7.93e-03 | 592.5s | R@1=20.3/23.1 R@5=40.5/43.5 mR=38.6
13:01:19 | INFO    | __main__ |   ↑ New best mean recall: 38.56
13:14:48 | INFO    | __main__ | Epoch   6/50 | loss=1.4956 | lr=7.87e-03 | 779.4s | R@1=20.5/23.2 R@5=40.8/43.7 mR=38.7
13:14:48 | INFO    | __main__ |   ↑ New best mean recall: 38.67
13:26:48 | INFO    | __main__ | Epoch   7/50 | loss=1.4860 | lr=7.80e-03 | 695.3s | R@1=21.0/23.7 R@5=41.5/44.0 mR=39.2
13:26:48 | INFO    | __main__ |   ↑ New best mean recall: 39.25
13:38:56 | INFO    | __main__ | Epoch   8/50 | loss=1.4773 | lr=7.71e-03 | 701.7s | R@1=20.6/23.8 R@5=41.3/44.3 mR=39.2
13:49:08 | INFO    | __main__ | Epoch   9/50 | loss=1.4678 | lr=7.61e-03 | 586.2s | R@1=21.3/23.8 R@5=41.4/44.2 mR=39.3
13:49:08 | INFO    | __main__ |   ↑ New best mean recall: 39.29
14:00:24 | INFO    | __main__ | Epoch  10/50 | loss=1.4647 | lr=7.49e-03 | 646.2s | R@1=21.4/24.1 R@5=41.9/44.4 mR=39.7
14:00:24 | INFO    | __main__ |   ↑ New best mean recall: 39.66
14:11:40 | INFO    | __main__ | Epoch  11/50 | loss=1.4712 | lr=7.35e-03 | 650.5s | R@1=20.6/23.9 R@5=41.2/44.3 mR=39.2
14:23:57 | INFO    | __main__ | Epoch  12/50 | loss=1.4681 | lr=7.21e-03 | 709.0s | R@1=21.3/24.4 R@5=42.0/44.9 mR=39.9
14:23:57 | INFO    | __main__ |   ↑ New best mean recall: 39.90
14:26:23 | INFO    | __main__ | Epoch  13/50 | loss=1.4596 | lr=7.05e-03 | 120.1s | R@1=21.3/24.1 R@5=41.8/44.9 mR=39.8
14:29:51 | INFO    | __main__ | Epoch  14/50 | loss=1.4646 | lr=6.88e-03 | 177.9s | R@1=21.0/24.3 R@5=41.8/44.8 mR=39.7
14:37:01 | INFO    | __main__ | Epoch  15/50 | loss=1.4553 | lr=6.69e-03 | 404.9s | R@1=21.3/24.5 R@5=42.3/44.7 mR=40.0
14:37:01 | INFO    | __main__ |   ↑ New best mean recall: 39.95
14:47:19 | INFO    | __main__ | Epoch  16/50 | loss=1.4483 | lr=6.50e-03 | 590.8s | R@1=21.4/24.6 R@5=42.3/45.1 mR=40.1
14:47:20 | INFO    | __main__ |   ↑ New best mean recall: 40.15
14:59:32 | INFO    | __main__ | Epoch  17/50 | loss=1.4432 | lr=6.29e-03 | 707.1s | R@1=21.3/24.3 R@5=42.3/44.9 mR=39.9
15:13:17 | INFO    | __main__ | Epoch  18/50 | loss=1.4421 | lr=6.07e-03 | 794.1s | R@1=21.1/24.3 R@5=41.9/45.1 mR=39.8
15:24:36 | INFO    | __main__ | Epoch  19/50 | loss=1.4433 | lr=5.85e-03 | 653.6s | R@1=21.7/25.3 R@5=42.8/45.9 mR=40.7
15:24:36 | INFO    | __main__ |   ↑ New best mean recall: 40.67
15:44:48 | INFO    | __main__ | Epoch  20/50 | loss=1.4367 | lr=5.62e-03 | 1182.3s | R@1=21.8/25.0 R@5=42.5/45.3 mR=40.3
15:57:48 | INFO    | __main__ | Epoch  21/50 | loss=1.4277 | lr=5.38e-03 | 753.4s | R@1=21.5/24.9 R@5=42.6/45.7 mR=40.5
