15:31:58 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=mask_3g_equal).
15:31:58 | INFO    | __main__ | Starting training for 20 epochs...
15:31:58 | INFO    | __main__ | Config: model=bridge_anchors K=510 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
15:47:23 | INFO    | __main__ | Epoch   1/20 | loss=3.1293 | lr=3.96e-03 | 898.1s | R@1=10.9/12.2 R@5=25.6/27.7 mR=24.6
15:47:23 | INFO    | __main__ |   ↑ New best mean recall: 24.61
16:03:19 | INFO    | __main__ | Epoch   2/20 | loss=1.8661 | lr=7.89e-03 | 925.9s | R@1=13.6/15.3 R@5=30.7/33.0 mR=29.2
16:03:19 | INFO    | __main__ |   ↑ New best mean recall: 29.21
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
16:15:47 | INFO    | __main__ | Epoch   3/20 | loss=1.7311 | lr=7.95e-03 | 720.5s | R@1=14.9/17.2 R@5=32.9/35.8 mR=31.5
16:15:47 | INFO    | __main__ |   ↑ New best mean recall: 31.46
16:29:34 | INFO    | __main__ | Epoch   4/20 | loss=1.6733 | lr=7.78e-03 | 798.4s | R@1=15.5/17.5 R@5=33.5/36.4 mR=32.1
16:29:35 | INFO    | __main__ |   ↑ New best mean recall: 32.07
16:36:42 | INFO    | __main__ | Epoch   5/20 | loss=1.6375 | lr=7.50e-03 | 399.8s | R@1=16.1/18.3 R@5=34.7/37.1 mR=32.9
16:36:42 | INFO    | __main__ |   ↑ New best mean recall: 32.88
16:47:21 | INFO    | __main__ | Epoch   6/20 | loss=1.6218 | lr=7.11e-03 | 612.5s | R@1=16.3/18.5 R@5=34.6/37.4 mR=33.0
16:47:22 | INFO    | __main__ |   ↑ New best mean recall: 33.00
16:57:31 | INFO    | __main__ | Epoch   7/20 | loss=1.6054 | lr=6.64e-03 | 581.5s | R@1=16.5/18.5 R@5=35.1/37.8 mR=33.4
16:57:31 | INFO    | __main__ |   ↑ New best mean recall: 33.42
17:09:28 | INFO    | __main__ | Epoch   8/20 | loss=1.5898 | lr=6.09e-03 | 691.1s | R@1=16.4/18.6 R@5=35.1/37.9 mR=33.4
17:09:29 | INFO    | __main__ |   ↑ New best mean recall: 33.44
17:18:39 | INFO    | __main__ | Epoch   9/20 | loss=1.5710 | lr=5.48e-03 | 524.2s | R@1=16.7/19.0 R@5=35.6/38.2 mR=33.9
17:18:39 | INFO    | __main__ |   ↑ New best mean recall: 33.86
17:26:32 | INFO    | __main__ | Epoch  10/20 | loss=1.5566 | lr=4.82e-03 | 446.5s | R@1=17.1/19.2 R@5=35.8/38.7 mR=34.1
17:26:32 | INFO    | __main__ |   ↑ New best mean recall: 34.15
17:33:50 | INFO    | __main__ | Epoch  11/20 | loss=1.5457 | lr=4.14e-03 | 410.3s | R@1=16.9/19.2 R@5=35.6/38.4 mR=33.9
17:42:58 | INFO    | __main__ | Epoch  12/20 | loss=1.5236 | lr=3.46e-03 | 521.9s | R@1=17.1/19.8 R@5=36.3/38.9 mR=34.5
17:42:58 | INFO    | __main__ |   ↑ New best mean recall: 34.48
17:51:29 | INFO    | __main__ | Epoch  13/20 | loss=1.4966 | lr=2.79e-03 | 484.9s | R@1=17.1/19.4 R@5=36.4/39.1 mR=34.5
17:51:30 | INFO    | __main__ |   ↑ New best mean recall: 34.52
17:59:41 | INFO    | __main__ | Epoch  14/20 | loss=1.4759 | lr=2.16e-03 | 463.3s | R@1=17.4/19.8 R@5=36.8/39.4 mR=34.8
17:59:41 | INFO    | __main__ |   ↑ New best mean recall: 34.85
18:06:55 | INFO    | __main__ | Epoch  15/20 | loss=1.4432 | lr=1.58e-03 | 407.2s | R@1=17.7/19.9 R@5=37.1/39.6 mR=35.1
18:06:55 | INFO    | __main__ |   ↑ New best mean recall: 35.07
18:15:19 | INFO    | __main__ | Epoch  16/20 | loss=1.4120 | lr=1.07e-03 | 478.2s | R@1=17.8/20.1 R@5=37.1/39.8 mR=35.3
18:15:20 | INFO    | __main__ |   ↑ New best mean recall: 35.26
18:24:07 | INFO    | __main__ | Epoch  17/20 | loss=1.3818 | lr=6.50e-04 | 502.6s | R@1=17.8/20.2 R@5=37.3/40.0 mR=35.4
18:24:07 | INFO    | __main__ |   ↑ New best mean recall: 35.38
18:33:16 | INFO    | __main__ | Epoch  18/20 | loss=1.3511 | lr=3.26e-04 | 524.4s | R@1=18.0/20.1 R@5=37.4/40.1 mR=35.4
18:33:16 | INFO    | __main__ |   ↑ New best mean recall: 35.43
18:41:51 | INFO    | __main__ | Epoch  19/20 | loss=1.3295 | lr=1.10e-04 | 489.0s | R@1=17.9/20.2 R@5=37.4/40.0 mR=35.4
18:48:48 | INFO    | __main__ | Epoch  20/20 | loss=1.3122 | lr=8.20e-06 | 388.6s | R@1=18.0/20.1 R@5=37.5/40.2 mR=35.5
18:48:48 | INFO    | __main__ |   ↑ New best mean recall: 35.47
