19:00:27 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=mask_4g_prior).
19:00:27 | INFO    | __main__ | Starting training for 20 epochs...
19:00:27 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
19:07:42 | INFO    | __main__ | Epoch   1/20 | loss=3.0838 | lr=3.96e-03 | 410.1s | R@1=11.7/13.1 R@5=27.1/29.0 mR=25.9
19:07:43 | INFO    | __main__ |   ↑ New best mean recall: 25.86
19:15:40 | INFO    | __main__ | Epoch   2/20 | loss=1.8082 | lr=7.89e-03 | 449.1s | R@1=15.9/17.3 R@5=33.6/35.8 mR=32.0
19:15:40 | INFO    | __main__ |   ↑ New best mean recall: 31.97
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
19:22:03 | INFO    | __main__ | Epoch   3/20 | loss=1.6570 | lr=7.95e-03 | 354.3s | R@1=17.6/20.0 R@5=36.8/39.7 mR=35.0
19:22:03 | INFO    | __main__ |   ↑ New best mean recall: 35.05
19:29:09 | INFO    | __main__ | Epoch   4/20 | loss=1.5955 | lr=7.78e-03 | 398.7s | R@1=18.1/20.4 R@5=37.3/40.1 mR=35.5
19:29:10 | INFO    | __main__ |   ↑ New best mean recall: 35.47
19:35:45 | INFO    | __main__ | Epoch   5/20 | loss=1.5586 | lr=7.50e-03 | 368.8s | R@1=18.9/20.8 R@5=38.4/40.7 mR=36.2
19:35:45 | INFO    | __main__ |   ↑ New best mean recall: 36.21
19:42:18 | INFO    | __main__ | Epoch   6/20 | loss=1.5429 | lr=7.11e-03 | 365.5s | R@1=18.8/21.1 R@5=38.4/41.0 mR=36.3
19:42:19 | INFO    | __main__ |   ↑ New best mean recall: 36.32
19:48:24 | INFO    | __main__ | Epoch   7/20 | loss=1.5257 | lr=6.64e-03 | 339.1s | R@1=19.4/21.4 R@5=39.0/41.7 mR=37.0
19:48:24 | INFO    | __main__ |   ↑ New best mean recall: 36.96
19:52:55 | INFO    | __main__ | Epoch   8/20 | loss=1.5099 | lr=6.09e-03 | 246.0s | R@1=19.1/21.5 R@5=39.1/41.7 mR=36.9
19:57:17 | INFO    | __main__ | Epoch   9/20 | loss=1.4901 | lr=5.48e-03 | 234.5s | R@1=19.4/21.7 R@5=39.5/41.8 mR=37.2
19:57:17 | INFO    | __main__ |   ↑ New best mean recall: 37.21
19:59:45 | INFO    | __main__ | Epoch  10/20 | loss=1.4757 | lr=4.82e-03 | 120.5s | R@1=19.8/22.1 R@5=40.0/42.5 mR=37.8
19:59:45 | INFO    | __main__ |   ↑ New best mean recall: 37.77
20:02:14 | INFO    | __main__ | Epoch  11/20 | loss=1.4634 | lr=4.14e-03 | 124.0s | R@1=19.6/22.1 R@5=39.6/42.3 mR=37.5
20:04:38 | INFO    | __main__ | Epoch  12/20 | loss=1.4418 | lr=3.46e-03 | 117.4s | R@1=20.0/22.4 R@5=40.2/42.7 mR=38.0
20:04:38 | INFO    | __main__ |   ↑ New best mean recall: 38.03
20:09:06 | INFO    | __main__ | Epoch  13/20 | loss=1.4144 | lr=2.79e-03 | 243.6s | R@1=20.0/22.4 R@5=40.4/42.8 mR=38.1
20:09:06 | INFO    | __main__ |   ↑ New best mean recall: 38.11
20:11:29 | INFO    | __main__ | Epoch  14/20 | loss=1.3931 | lr=2.16e-03 | 117.4s | R@1=19.9/22.4 R@5=40.3/42.8 mR=38.1
20:13:57 | INFO    | __main__ | Epoch  15/20 | loss=1.3610 | lr=1.58e-03 | 122.9s | R@1=20.5/22.9 R@5=41.0/43.4 mR=38.7
20:13:57 | INFO    | __main__ |   ↑ New best mean recall: 38.69
20:16:24 | INFO    | __main__ | Epoch  16/20 | loss=1.3293 | lr=1.07e-03 | 121.1s | R@1=20.5/22.7 R@5=40.9/43.5 mR=38.7
20:19:12 | INFO    | __main__ | Epoch  17/20 | loss=1.2986 | lr=6.50e-04 | 141.4s | R@1=20.6/22.8 R@5=41.2/43.6 mR=38.8
20:19:12 | INFO    | __main__ |   ↑ New best mean recall: 38.76
20:21:44 | INFO    | __main__ | Epoch  18/20 | loss=1.2680 | lr=3.26e-04 | 125.5s | R@1=20.7/22.8 R@5=41.2/43.5 mR=38.8
20:21:44 | INFO    | __main__ |   ↑ New best mean recall: 38.80
20:24:13 | INFO    | __main__ | Epoch  19/20 | loss=1.2467 | lr=1.10e-04 | 121.8s | R@1=20.6/22.7 R@5=41.2/43.4 mR=38.7
20:26:41 | INFO    | __main__ | Epoch  20/20 | loss=1.2283 | lr=8.20e-06 | 120.8s | R@1=20.7/22.8 R@5=41.3/43.6 mR=38.8
20:26:41 | INFO    | __main__ |   ↑ New best mean recall: 38.82
