05:19:03 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=proj_d32_k512).
05:19:03 | INFO    | __main__ | Starting training for 20 epochs...
05:19:03 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
05:23:13 | INFO    | __main__ | Epoch   1/20 | loss=2.9763 | lr=3.96e-03 | 205.1s | R@1=13.0/14.4 R@5=29.5/31.2 mR=27.8
05:23:13 | INFO    | __main__ |   ↑ New best mean recall: 27.83
05:26:28 | INFO    | __main__ | Epoch   2/20 | loss=1.7547 | lr=7.89e-03 | 169.3s | R@1=16.7/18.9 R@5=35.1/37.8 mR=33.5
05:26:29 | INFO    | __main__ |   ↑ New best mean recall: 33.51
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
05:29:02 | INFO    | __main__ | Epoch   3/20 | loss=1.6179 | lr=7.95e-03 | 127.3s | R@1=19.7/22.9 R@5=39.8/43.1 mR=38.1
05:29:02 | INFO    | __main__ |   ↑ New best mean recall: 38.11
05:31:34 | INFO    | __main__ | Epoch   4/20 | loss=1.5427 | lr=7.78e-03 | 122.3s | R@1=20.4/23.2 R@5=40.0/43.7 mR=38.5
05:31:34 | INFO    | __main__ |   ↑ New best mean recall: 38.47
05:34:23 | INFO    | __main__ | Epoch   5/20 | loss=1.4941 | lr=7.50e-03 | 140.9s | R@1=21.1/23.7 R@5=41.7/44.0 mR=39.3
05:34:24 | INFO    | __main__ |   ↑ New best mean recall: 39.27
05:37:10 | INFO    | __main__ | Epoch   6/20 | loss=1.4603 | lr=7.11e-03 | 140.4s | R@1=21.6/24.5 R@5=42.4/45.2 mR=40.1
05:37:10 | INFO    | __main__ |   ↑ New best mean recall: 40.09
05:40:00 | INFO    | __main__ | Epoch   7/20 | loss=1.4295 | lr=6.64e-03 | 142.8s | R@1=22.3/25.3 R@5=42.9/46.1 mR=40.9
05:40:00 | INFO    | __main__ |   ↑ New best mean recall: 40.88
05:42:51 | INFO    | __main__ | Epoch   8/20 | loss=1.4025 | lr=6.09e-03 | 142.7s | R@1=21.6/25.1 R@5=42.4/45.7 mR=40.4
05:45:38 | INFO    | __main__ | Epoch   9/20 | loss=1.3695 | lr=5.48e-03 | 137.2s | R@1=22.0/25.4 R@5=42.8/46.0 mR=40.8
05:48:15 | INFO    | __main__ | Epoch  10/20 | loss=1.3444 | lr=4.82e-03 | 128.3s | R@1=22.4/25.6 R@5=43.3/46.6 mR=41.3
05:48:15 | INFO    | __main__ |   ↑ New best mean recall: 41.28
05:50:48 | INFO    | __main__ | Epoch  11/20 | loss=1.3183 | lr=4.14e-03 | 126.8s | R@1=21.1/25.5 R@5=42.0/46.4 mR=40.5
05:53:17 | INFO    | __main__ | Epoch  12/20 | loss=1.2874 | lr=3.46e-03 | 123.5s | R@1=22.7/26.4 R@5=44.0/47.5 mR=41.9
05:53:17 | INFO    | __main__ |   ↑ New best mean recall: 41.91
05:55:48 | INFO    | __main__ | Epoch  13/20 | loss=1.2495 | lr=2.79e-03 | 125.7s | R@1=21.8/25.6 R@5=42.9/46.8 mR=41.1
05:58:24 | INFO    | __main__ | Epoch  14/20 | loss=1.2156 | lr=2.16e-03 | 127.1s | R@1=22.3/26.2 R@5=43.1/47.1 mR=41.6
06:00:59 | INFO    | __main__ | Epoch  15/20 | loss=1.1720 | lr=1.58e-03 | 129.4s | R@1=22.2/25.9 R@5=43.6/47.3 mR=41.6
06:03:39 | INFO    | __main__ | Epoch  16/20 | loss=1.1277 | lr=1.07e-03 | 128.9s | R@1=21.8/25.5 R@5=43.0/46.8 mR=41.1
06:06:10 | INFO    | __main__ | Epoch  17/20 | loss=1.0861 | lr=6.50e-04 | 125.9s | R@1=21.9/25.6 R@5=43.3/46.7 mR=41.2
06:08:47 | INFO    | __main__ | Epoch  18/20 | loss=1.0467 | lr=3.26e-04 | 131.9s | R@1=21.6/25.1 R@5=42.8/46.1 mR=40.7
06:11:21 | INFO    | __main__ | Epoch  19/20 | loss=1.0169 | lr=1.10e-04 | 129.5s | R@1=21.6/25.2 R@5=42.8/46.2 mR=40.8
06:13:44 | INFO    | __main__ | Epoch  20/20 | loss=0.9953 | lr=8.20e-06 | 119.4s | R@1=21.5/25.1 R@5=42.7/46.1 mR=40.7
