07:30:48 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=cap_k256_bs4096).
07:30:49 | INFO    | __main__ | Starting training for 20 epochs...
07:30:49 | INFO    | __main__ | Config: model=bridge_anchors K=256 bs=4096 lr=1.1e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
07:35:56 | INFO    | __main__ | Epoch   1/20 | loss=7.3616 | lr=5.32e-04 | 273.3s | R@1=0.4/0.6 R@5=1.7/2.2 mR=2.0
07:35:57 | INFO    | __main__ |   ↑ New best mean recall: 1.96
07:39:24 | INFO    | __main__ | Epoch   2/20 | loss=4.6151 | lr=1.04e-03 | 177.6s | R@1=4.4/4.8 R@5=12.1/13.3 mR=11.9
07:39:26 | INFO    | __main__ |   ↑ New best mean recall: 11.87
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
07:42:01 | INFO    | __main__ | Epoch   3/20 | loss=3.6477 | lr=1.15e-03 | 129.2s | R@1=8.2/9.1 R@5=20.4/22.1 mR=19.7
07:42:01 | INFO    | __main__ |   ↑ New best mean recall: 19.67
07:44:20 | INFO    | __main__ | Epoch   4/20 | loss=3.3138 | lr=1.13e-03 | 114.9s | R@1=10.5/12.0 R@5=25.0/27.1 mR=24.0
07:44:20 | INFO    | __main__ |   ↑ New best mean recall: 24.00
07:46:35 | INFO    | __main__ | Epoch   5/20 | loss=3.1410 | lr=1.10e-03 | 110.3s | R@1=12.1/13.9 R@5=28.0/30.0 mR=26.7
07:46:35 | INFO    | __main__ |   ↑ New best mean recall: 26.69
07:48:49 | INFO    | __main__ | Epoch   6/20 | loss=3.0251 | lr=1.06e-03 | 108.5s | R@1=13.2/15.1 R@5=30.3/32.3 mR=28.6
07:48:49 | INFO    | __main__ |   ↑ New best mean recall: 28.64
07:51:01 | INFO    | __main__ | Epoch   7/20 | loss=2.9392 | lr=1.00e-03 | 106.7s | R@1=14.1/16.3 R@5=31.8/33.9 mR=30.1
07:51:01 | INFO    | __main__ |   ↑ New best mean recall: 30.13
07:53:07 | INFO    | __main__ | Epoch   8/20 | loss=2.8771 | lr=9.36e-04 | 99.5s | R@1=14.9/17.0 R@5=33.0/35.1 mR=31.1
07:53:07 | INFO    | __main__ |   ↑ New best mean recall: 31.14
07:55:06 | INFO    | __main__ | Epoch   9/20 | loss=2.8255 | lr=8.63e-04 | 95.5s | R@1=15.4/17.6 R@5=33.8/35.8 mR=31.9
07:55:06 | INFO    | __main__ |   ↑ New best mean recall: 31.92
07:57:16 | INFO    | __main__ | Epoch  10/20 | loss=2.7840 | lr=7.82e-04 | 108.5s | R@1=16.1/18.3 R@5=34.7/37.0 mR=32.9
07:57:16 | INFO    | __main__ |   ↑ New best mean recall: 32.86
07:59:20 | INFO    | __main__ | Epoch  11/20 | loss=2.7440 | lr=6.97e-04 | 100.8s | R@1=16.5/18.7 R@5=35.2/37.6 mR=33.4
07:59:20 | INFO    | __main__ |   ↑ New best mean recall: 33.39
08:01:29 | INFO    | __main__ | Epoch  12/20 | loss=2.7170 | lr=6.08e-04 | 106.1s | R@1=16.9/19.0 R@5=35.8/37.9 mR=33.8
08:01:29 | INFO    | __main__ |   ↑ New best mean recall: 33.79
08:03:27 | INFO    | __main__ | Epoch  13/20 | loss=2.6935 | lr=5.19e-04 | 94.6s | R@1=17.1/19.4 R@5=36.2/38.4 mR=34.2
08:03:27 | INFO    | __main__ |   ↑ New best mean recall: 34.22
08:05:35 | INFO    | __main__ | Epoch  14/20 | loss=2.6697 | lr=4.32e-04 | 99.2s | R@1=17.3/19.6 R@5=36.5/38.7 mR=34.5
08:05:35 | INFO    | __main__ |   ↑ New best mean recall: 34.48
08:07:32 | INFO    | __main__ | Epoch  15/20 | loss=2.6557 | lr=3.47e-04 | 94.2s | R@1=17.5/19.7 R@5=36.8/38.9 mR=34.7
08:07:32 | INFO    | __main__ |   ↑ New best mean recall: 34.70
08:09:33 | INFO    | __main__ | Epoch  16/20 | loss=2.6412 | lr=2.68e-04 | 94.7s | R@1=17.7/19.9 R@5=37.0/39.2 mR=34.9
08:09:33 | INFO    | __main__ |   ↑ New best mean recall: 34.94
08:11:43 | INFO    | __main__ | Epoch  17/20 | loss=2.6330 | lr=1.97e-04 | 105.9s | R@1=17.7/19.9 R@5=37.1/39.3 mR=35.0
08:11:43 | INFO    | __main__ |   ↑ New best mean recall: 35.02
08:13:51 | INFO    | __main__ | Epoch  18/20 | loss=2.6235 | lr=1.35e-04 | 104.8s | R@1=17.8/20.0 R@5=37.2/39.5 mR=35.1
08:13:51 | INFO    | __main__ |   ↑ New best mean recall: 35.12
08:16:05 | INFO    | __main__ | Epoch  19/20 | loss=2.6206 | lr=8.27e-05 | 107.4s | R@1=17.8/20.1 R@5=37.3/39.5 mR=35.2
08:16:05 | INFO    | __main__ |   ↑ New best mean recall: 35.22
08:18:17 | INFO    | __main__ | Epoch  20/20 | loss=2.6134 | lr=4.27e-05 | 107.4s | R@1=17.8/20.1 R@5=37.3/39.6 mR=35.3
08:18:17 | INFO    | __main__ |   ↑ New best mean recall: 35.25
