07:30:49 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=cap_k256_bs512).
07:30:49 | INFO    | __main__ | Starting training for 20 epochs...
07:30:49 | INFO    | __main__ | Config: model=bridge_anchors K=256 bs=512 lr=1.6e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
07:35:58 | INFO    | __main__ | Epoch   1/20 | loss=2.9627 | lr=8.08e-04 | 275.3s | R@1=8.9/10.2 R@5=22.0/24.0 mR=21.2
07:35:58 | INFO    | __main__ |   ↑ New best mean recall: 21.22
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
07:39:24 | INFO    | __main__ | Epoch   2/20 | loss=1.3926 | lr=1.58e-03 | 178.9s | R@1=14.0/16.1 R@5=31.4/33.8 mR=29.9
07:39:26 | INFO    | __main__ |   ↑ New best mean recall: 29.88
07:42:05 | INFO    | __main__ | Epoch   3/20 | loss=1.2084 | lr=1.57e-03 | 134.5s | R@1=16.4/18.9 R@5=35.3/37.7 mR=33.5
07:42:06 | INFO    | __main__ |   ↑ New best mean recall: 33.50
07:44:46 | INFO    | __main__ | Epoch   4/20 | loss=1.1224 | lr=1.53e-03 | 134.6s | R@1=17.7/19.7 R@5=36.8/39.2 mR=34.8
07:44:47 | INFO    | __main__ |   ↑ New best mean recall: 34.83
07:47:25 | INFO    | __main__ | Epoch   5/20 | loss=1.0729 | lr=1.47e-03 | 132.6s | R@1=18.8/20.7 R@5=38.4/40.4 mR=36.1
07:47:25 | INFO    | __main__ |   ↑ New best mean recall: 36.06
07:50:05 | INFO    | __main__ | Epoch   6/20 | loss=1.0377 | lr=1.39e-03 | 132.7s | R@1=18.9/21.3 R@5=38.5/41.1 mR=36.5
07:50:05 | INFO    | __main__ |   ↑ New best mean recall: 36.47
07:52:36 | INFO    | __main__ | Epoch   7/20 | loss=1.0113 | lr=1.28e-03 | 125.6s | R@1=19.6/21.8 R@5=39.6/41.8 mR=37.3
07:52:36 | INFO    | __main__ |   ↑ New best mean recall: 37.32
07:55:08 | INFO    | __main__ | Epoch   8/20 | loss=0.9898 | lr=1.17e-03 | 121.2s | R@1=19.3/22.1 R@5=39.5/42.2 mR=37.4
07:55:08 | INFO    | __main__ |   ↑ New best mean recall: 37.44
07:57:41 | INFO    | __main__ | Epoch   9/20 | loss=0.9671 | lr=1.04e-03 | 124.7s | R@1=19.9/22.3 R@5=39.9/42.5 mR=37.8
07:57:41 | INFO    | __main__ |   ↑ New best mean recall: 37.83
08:00:10 | INFO    | __main__ | Epoch  10/20 | loss=0.9495 | lr=9.02e-04 | 121.0s | R@1=20.3/22.7 R@5=40.5/43.0 mR=38.3
08:00:10 | INFO    | __main__ |   ↑ New best mean recall: 38.27
08:02:36 | INFO    | __main__ | Epoch  11/20 | loss=0.9363 | lr=7.62e-04 | 119.4s | R@1=20.0/22.6 R@5=39.9/42.7 mR=38.0
08:04:56 | INFO    | __main__ | Epoch  12/20 | loss=0.9200 | lr=6.23e-04 | 114.1s | R@1=20.4/22.9 R@5=40.7/43.0 mR=38.4
08:04:56 | INFO    | __main__ |   ↑ New best mean recall: 38.44
08:07:17 | INFO    | __main__ | Epoch  13/20 | loss=0.9039 | lr=4.89e-04 | 114.1s | R@1=20.3/22.8 R@5=40.7/43.0 mR=38.4
08:07:17 | INFO    | __main__ |   ↑ New best mean recall: 38.44
08:09:35 | INFO    | __main__ | Epoch  14/20 | loss=0.8907 | lr=3.65e-04 | 112.5s | R@1=20.3/22.8 R@5=40.7/42.8 mR=38.3
08:12:04 | INFO    | __main__ | Epoch  15/20 | loss=0.8774 | lr=2.54e-04 | 122.9s | R@1=20.4/22.9 R@5=40.9/43.3 mR=38.6
08:12:04 | INFO    | __main__ |   ↑ New best mean recall: 38.64
08:14:33 | INFO    | __main__ | Epoch  16/20 | loss=0.8641 | lr=1.60e-04 | 124.1s | R@1=20.5/23.1 R@5=40.8/43.1 mR=38.6
08:17:05 | INFO    | __main__ | Epoch  17/20 | loss=0.8556 | lr=8.54e-05 | 127.2s | R@1=20.4/23.0 R@5=40.8/43.2 mR=38.6
08:19:34 | INFO    | __main__ | Epoch  18/20 | loss=0.8484 | lr=3.34e-05 | 119.0s | R@1=20.5/22.9 R@5=40.8/43.1 mR=38.6
08:21:47 | INFO    | __main__ | Epoch  19/20 | loss=0.8449 | lr=5.12e-06 | 109.9s | R@1=20.5/23.0 R@5=40.7/43.2 mR=38.6
08:24:00 | INFO    | __main__ | Epoch  20/20 | loss=0.8396 | lr=1.61e-06 | 105.4s | R@1=20.5/23.0 R@5=40.7/43.2 mR=38.6
