00:06:54 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=step1_dual_profile).
00:06:54 | INFO    | __main__ | Starting training for 20 epochs...
00:06:54 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
00:08:44 | INFO    | __main__ | Epoch   1/20 | loss=3.2062 | lr=3.96e-03 | 89.7s | R@1=9.2/10.1 R@5=22.8/23.8 mR=21.5
00:08:44 | INFO    | __main__ |   ↑ New best mean recall: 21.48
00:10:42 | INFO    | __main__ | Epoch   2/20 | loss=1.8605 | lr=7.89e-03 | 92.8s | R@1=11.9/13.1 R@5=27.7/29.2 mR=26.2
00:10:42 | INFO    | __main__ |   ↑ New best mean recall: 26.21
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
00:12:43 | INFO    | __main__ | Epoch   3/20 | loss=1.7421 | lr=7.95e-03 | 94.8s | R@1=13.2/14.9 R@5=30.0/32.4 mR=28.6
00:12:43 | INFO    | __main__ |   ↑ New best mean recall: 28.63
00:14:35 | INFO    | __main__ | Epoch   4/20 | loss=1.6739 | lr=7.78e-03 | 93.2s | R@1=13.7/16.0 R@5=31.0/33.6 mR=29.6
00:14:35 | INFO    | __main__ |   ↑ New best mean recall: 29.64
00:16:24 | INFO    | __main__ | Epoch   5/20 | loss=1.6308 | lr=7.50e-03 | 89.7s | R@1=14.4/15.9 R@5=32.1/33.8 mR=30.2
00:16:24 | INFO    | __main__ |   ↑ New best mean recall: 30.22
00:18:15 | INFO    | __main__ | Epoch   6/20 | loss=1.6030 | lr=7.11e-03 | 91.3s | R@1=15.3/17.1 R@5=33.6/35.2 mR=31.6
00:18:15 | INFO    | __main__ |   ↑ New best mean recall: 31.58
00:20:05 | INFO    | __main__ | Epoch   7/20 | loss=1.5763 | lr=6.64e-03 | 90.1s | R@1=15.5/17.2 R@5=33.7/35.5 mR=31.7
00:20:05 | INFO    | __main__ |   ↑ New best mean recall: 31.72
00:21:57 | INFO    | __main__ | Epoch   8/20 | loss=1.5545 | lr=6.09e-03 | 92.5s | R@1=14.9/17.6 R@5=33.4/36.0 mR=31.8
00:21:57 | INFO    | __main__ |   ↑ New best mean recall: 31.77
00:23:59 | INFO    | __main__ | Epoch   9/20 | loss=1.5253 | lr=5.48e-03 | 101.3s | R@1=15.9/18.1 R@5=34.7/36.9 mR=32.8
00:23:59 | INFO    | __main__ |   ↑ New best mean recall: 32.80
00:26:03 | INFO    | __main__ | Epoch  10/20 | loss=1.5035 | lr=4.82e-03 | 102.8s | R@1=16.0/18.1 R@5=34.9/36.9 mR=32.9
00:26:03 | INFO    | __main__ |   ↑ New best mean recall: 32.87
00:27:58 | INFO    | __main__ | Epoch  11/20 | loss=1.4822 | lr=4.14e-03 | 94.9s | R@1=16.1/18.1 R@5=34.8/37.0 mR=32.9
00:27:58 | INFO    | __main__ |   ↑ New best mean recall: 32.93
00:29:58 | INFO    | __main__ | Epoch  12/20 | loss=1.4588 | lr=3.46e-03 | 97.4s | R@1=16.7/19.0 R@5=36.0/38.3 mR=34.0
00:29:58 | INFO    | __main__ |   ↑ New best mean recall: 34.03
00:32:02 | INFO    | __main__ | Epoch  13/20 | loss=1.4272 | lr=2.79e-03 | 104.2s | R@1=16.6/19.0 R@5=35.5/38.0 mR=33.7
00:34:03 | INFO    | __main__ | Epoch  14/20 | loss=1.4040 | lr=2.16e-03 | 100.4s | R@1=16.7/19.1 R@5=35.9/38.3 mR=34.0
00:36:01 | INFO    | __main__ | Epoch  15/20 | loss=1.3723 | lr=1.58e-03 | 98.4s | R@1=16.9/19.1 R@5=36.5/38.4 mR=34.2
00:36:01 | INFO    | __main__ |   ↑ New best mean recall: 34.22
00:37:58 | INFO    | __main__ | Epoch  16/20 | loss=1.3423 | lr=1.07e-03 | 97.9s | R@1=16.9/19.4 R@5=36.4/38.5 mR=34.3
00:37:59 | INFO    | __main__ |   ↑ New best mean recall: 34.30
00:39:59 | INFO    | __main__ | Epoch  17/20 | loss=1.3156 | lr=6.50e-04 | 100.1s | R@1=17.0/19.6 R@5=36.5/38.8 mR=34.5
00:39:59 | INFO    | __main__ |   ↑ New best mean recall: 34.49
00:42:02 | INFO    | __main__ | Epoch  18/20 | loss=1.2904 | lr=3.26e-04 | 102.7s | R@1=16.9/19.3 R@5=36.2/38.5 mR=34.2
00:43:54 | INFO    | __main__ | Epoch  19/20 | loss=1.2743 | lr=1.10e-04 | 91.2s | R@1=17.0/19.5 R@5=36.5/38.7 mR=34.4
00:45:54 | INFO    | __main__ | Epoch  20/20 | loss=1.2591 | lr=8.20e-06 | 99.5s | R@1=17.0/19.4 R@5=36.4/38.6 mR=34.3
