05:23:27 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=fixed_mask_2exp_k128).
05:23:27 | INFO    | __main__ | Starting training for 20 epochs...
05:23:27 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
05:28:43 | INFO    | __main__ | Epoch   1/20 | loss=3.1071 | lr=3.96e-03 | 274.6s | R@1=11.2/12.8 R@5=26.2/28.2 mR=25.0
05:28:45 | INFO    | __main__ |   ↑ New best mean recall: 25.04
05:33:32 | INFO    | __main__ | Epoch   2/20 | loss=1.8090 | lr=7.89e-03 | 259.9s | R@1=13.8/15.6 R@5=30.6/32.9 mR=29.1
05:33:33 | INFO    | __main__ |   ↑ New best mean recall: 29.14
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
05:35:44 | INFO    | __main__ | Epoch   3/20 | loss=1.6838 | lr=7.95e-03 | 108.1s | R@1=15.8/18.4 R@5=33.9/37.1 mR=32.6
05:35:45 | INFO    | __main__ |   ↑ New best mean recall: 32.61
05:37:54 | INFO    | __main__ | Epoch   4/20 | loss=1.6139 | lr=7.78e-03 | 108.4s | R@1=16.5/19.3 R@5=35.0/38.4 mR=33.7
05:37:54 | INFO    | __main__ |   ↑ New best mean recall: 33.66
05:40:04 | INFO    | __main__ | Epoch   5/20 | loss=1.5698 | lr=7.50e-03 | 108.8s | R@1=17.4/19.8 R@5=35.9/38.7 mR=34.4
05:40:04 | INFO    | __main__ |   ↑ New best mean recall: 34.36
05:42:13 | INFO    | __main__ | Epoch   6/20 | loss=1.5426 | lr=7.11e-03 | 109.0s | R@1=17.7/20.5 R@5=36.9/39.8 mR=35.2
05:42:13 | INFO    | __main__ |   ↑ New best mean recall: 35.20
05:44:24 | INFO    | __main__ | Epoch   7/20 | loss=1.5181 | lr=6.64e-03 | 110.4s | R@1=18.4/20.7 R@5=37.4/40.3 mR=35.7
05:44:24 | INFO    | __main__ |   ↑ New best mean recall: 35.71
05:46:36 | INFO    | __main__ | Epoch   8/20 | loss=1.4952 | lr=6.09e-03 | 110.7s | R@1=18.0/21.0 R@5=37.1/40.9 mR=35.8
05:46:36 | INFO    | __main__ |   ↑ New best mean recall: 35.76
05:48:46 | INFO    | __main__ | Epoch   9/20 | loss=1.4684 | lr=5.48e-03 | 109.9s | R@1=18.8/21.2 R@5=38.2/41.2 mR=36.5
05:48:46 | INFO    | __main__ |   ↑ New best mean recall: 36.47
05:50:57 | INFO    | __main__ | Epoch  10/20 | loss=1.4479 | lr=4.82e-03 | 110.5s | R@1=19.1/21.6 R@5=38.8/41.6 mR=36.9
05:50:57 | INFO    | __main__ |   ↑ New best mean recall: 36.88
05:53:09 | INFO    | __main__ | Epoch  11/20 | loss=1.4286 | lr=4.14e-03 | 111.1s | R@1=18.6/21.7 R@5=38.1/42.0 mR=36.7
05:55:20 | INFO    | __main__ | Epoch  12/20 | loss=1.4065 | lr=3.46e-03 | 110.6s | R@1=19.7/22.0 R@5=39.8/42.6 mR=37.7
05:55:20 | INFO    | __main__ |   ↑ New best mean recall: 37.70
05:57:30 | INFO    | __main__ | Epoch  13/20 | loss=1.3767 | lr=2.79e-03 | 110.2s | R@1=19.7/22.1 R@5=39.5/42.5 mR=37.6
05:59:41 | INFO    | __main__ | Epoch  14/20 | loss=1.3536 | lr=2.16e-03 | 110.0s | R@1=19.4/22.4 R@5=39.2/42.7 mR=37.6
06:01:53 | INFO    | __main__ | Epoch  15/20 | loss=1.3242 | lr=1.58e-03 | 111.5s | R@1=19.8/22.2 R@5=39.8/42.8 mR=37.8
06:01:53 | INFO    | __main__ |   ↑ New best mean recall: 37.81
06:04:04 | INFO    | __main__ | Epoch  16/20 | loss=1.2960 | lr=1.07e-03 | 111.0s | R@1=19.8/22.2 R@5=40.4/43.0 mR=38.1
06:04:04 | INFO    | __main__ |   ↑ New best mean recall: 38.14
06:06:15 | INFO    | __main__ | Epoch  17/20 | loss=1.2706 | lr=6.50e-04 | 110.9s | R@1=20.0/22.6 R@5=40.3/43.1 mR=38.2
06:06:15 | INFO    | __main__ |   ↑ New best mean recall: 38.16
06:08:28 | INFO    | __main__ | Epoch  18/20 | loss=1.2463 | lr=3.26e-04 | 112.2s | R@1=20.1/22.5 R@5=40.3/43.1 mR=38.3
06:08:28 | INFO    | __main__ |   ↑ New best mean recall: 38.26
06:10:39 | INFO    | __main__ | Epoch  19/20 | loss=1.2310 | lr=1.10e-04 | 111.0s | R@1=20.0/22.6 R@5=40.3/43.0 mR=38.2
06:12:49 | INFO    | __main__ | Epoch  20/20 | loss=1.2167 | lr=8.20e-06 | 108.4s | R@1=20.0/22.6 R@5=40.3/43.0 mR=38.2
