06:16:28 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=fixed_mask_3exp_k126).
06:16:28 | INFO    | __main__ | Starting training for 20 epochs...
06:16:28 | INFO    | __main__ | Config: model=bridge_anchors K=126 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
06:18:41 | INFO    | __main__ | Epoch   1/20 | loss=3.0987 | lr=3.96e-03 | 111.2s | R@1=11.1/12.2 R@5=25.8/27.5 mR=24.6
06:18:41 | INFO    | __main__ |   ↑ New best mean recall: 24.58
06:21:00 | INFO    | __main__ | Epoch   2/20 | loss=1.8212 | lr=7.89e-03 | 112.6s | R@1=13.6/15.5 R@5=30.3/32.6 mR=28.9
06:21:00 | INFO    | __main__ |   ↑ New best mean recall: 28.88
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
06:23:17 | INFO    | __main__ | Epoch   3/20 | loss=1.6933 | lr=7.95e-03 | 114.9s | R@1=16.0/18.9 R@5=34.4/37.5 mR=33.0
06:23:17 | INFO    | __main__ |   ↑ New best mean recall: 32.99
06:25:37 | INFO    | __main__ | Epoch   4/20 | loss=1.6203 | lr=7.78e-03 | 114.4s | R@1=16.7/19.3 R@5=34.9/38.0 mR=33.5
06:25:37 | INFO    | __main__ |   ↑ New best mean recall: 33.47
06:27:51 | INFO    | __main__ | Epoch   5/20 | loss=1.5831 | lr=7.50e-03 | 111.6s | R@1=16.6/19.0 R@5=35.0/38.0 mR=33.5
06:27:51 | INFO    | __main__ |   ↑ New best mean recall: 33.47
06:30:05 | INFO    | __main__ | Epoch   6/20 | loss=1.5538 | lr=7.11e-03 | 112.9s | R@1=17.3/19.6 R@5=36.1/38.5 mR=34.3
06:30:05 | INFO    | __main__ |   ↑ New best mean recall: 34.28
06:32:19 | INFO    | __main__ | Epoch   7/20 | loss=1.5280 | lr=6.64e-03 | 112.7s | R@1=17.6/19.9 R@5=36.6/39.2 mR=34.8
06:32:19 | INFO    | __main__ |   ↑ New best mean recall: 34.75
06:34:34 | INFO    | __main__ | Epoch   8/20 | loss=1.5040 | lr=6.09e-03 | 113.5s | R@1=18.1/20.5 R@5=37.0/40.1 mR=35.4
06:34:34 | INFO    | __main__ |   ↑ New best mean recall: 35.39
06:36:47 | INFO    | __main__ | Epoch   9/20 | loss=1.4768 | lr=5.48e-03 | 112.5s | R@1=19.0/20.6 R@5=38.4/40.5 mR=36.2
06:36:47 | INFO    | __main__ |   ↑ New best mean recall: 36.17
06:39:01 | INFO    | __main__ | Epoch  10/20 | loss=1.4530 | lr=4.82e-03 | 112.1s | R@1=18.9/21.2 R@5=38.5/40.8 mR=36.4
06:39:02 | INFO    | __main__ |   ↑ New best mean recall: 36.38
06:41:16 | INFO    | __main__ | Epoch  11/20 | loss=1.4308 | lr=4.14e-03 | 113.1s | R@1=18.4/21.1 R@5=38.1/41.0 mR=36.2
06:43:34 | INFO    | __main__ | Epoch  12/20 | loss=1.4059 | lr=3.46e-03 | 116.5s | R@1=19.5/21.9 R@5=39.2/41.4 mR=37.2
06:43:35 | INFO    | __main__ |   ↑ New best mean recall: 37.16
06:45:53 | INFO    | __main__ | Epoch  13/20 | loss=1.3765 | lr=2.79e-03 | 115.6s | R@1=19.5/22.2 R@5=39.7/42.3 mR=37.5
06:45:53 | INFO    | __main__ |   ↑ New best mean recall: 37.48
06:48:12 | INFO    | __main__ | Epoch  14/20 | loss=1.3511 | lr=2.16e-03 | 116.5s | R@1=19.2/21.9 R@5=38.9/41.9 mR=37.1
06:50:29 | INFO    | __main__ | Epoch  15/20 | loss=1.3198 | lr=1.58e-03 | 116.5s | R@1=19.8/22.2 R@5=39.6/42.3 mR=37.6
06:50:30 | INFO    | __main__ |   ↑ New best mean recall: 37.58
06:52:44 | INFO    | __main__ | Epoch  16/20 | loss=1.2900 | lr=1.07e-03 | 113.0s | R@1=19.9/22.3 R@5=39.9/42.5 mR=37.9
06:52:44 | INFO    | __main__ |   ↑ New best mean recall: 37.89
06:54:59 | INFO    | __main__ | Epoch  17/20 | loss=1.2633 | lr=6.50e-04 | 113.9s | R@1=20.0/22.3 R@5=40.0/42.6 mR=37.9
06:55:00 | INFO    | __main__ |   ↑ New best mean recall: 37.91
06:57:17 | INFO    | __main__ | Epoch  18/20 | loss=1.2383 | lr=3.26e-04 | 116.1s | R@1=20.1/22.3 R@5=40.1/42.6 mR=38.0
06:57:17 | INFO    | __main__ |   ↑ New best mean recall: 37.96
06:59:33 | INFO    | __main__ | Epoch  19/20 | loss=1.2217 | lr=1.10e-04 | 114.7s | R@1=20.1/22.4 R@5=40.1/42.6 mR=38.0
06:59:33 | INFO    | __main__ |   ↑ New best mean recall: 37.96
07:01:49 | INFO    | __main__ | Epoch  20/20 | loss=1.2069 | lr=8.20e-06 | 115.3s | R@1=20.2/22.5 R@5=40.1/42.7 mR=38.0
07:01:49 | INFO    | __main__ |   ↑ New best mean recall: 38.02
