01:17:05 | INFO    | __main__ | wandb logging enabled (project=shared-anchors, run=sa_k128_ds128_cls).
01:17:05 | INFO    | __main__ | Starting training for 20 epochs...
01:17:05 | INFO    | __main__ | Config: model=shared_anchor K=128 bs=256 lr=1.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
01:17:12 | INFO    | __main__ | Epoch   1/20 | loss=2.4434 val=3.0669 | lr=5.01e-04 | 2.4s | R@1=4.1/4.2 R@5=12.0/12.2 mR=11.4
01:17:12 | INFO    | __main__ |   ↑ New best mean recall: 11.39
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
01:17:19 | INFO    | __main__ | Epoch   2/20 | loss=1.2840 val=2.9664 | lr=1.00e-03 | 2.2s | R@1=5.0/5.7 R@5=14.3/15.7 mR=14.0
01:17:19 | INFO    | __main__ |   ↑ New best mean recall: 14.01
01:17:25 | INFO    | __main__ | Epoch   3/20 | loss=1.2029 val=2.8393 | lr=9.92e-04 | 2.1s | R@1=5.9/6.8 R@5=16.8/17.6 mR=16.1
01:17:25 | INFO    | __main__ |   ↑ New best mean recall: 16.06
01:17:32 | INFO    | __main__ | Epoch   4/20 | loss=1.1256 val=2.7874 | lr=9.70e-04 | 2.3s | R@1=6.4/7.2 R@5=18.2/18.9 mR=17.2
01:17:32 | INFO    | __main__ |   ↑ New best mean recall: 17.22
01:17:39 | INFO    | __main__ | Epoch   5/20 | loss=1.0784 val=2.7554 | lr=9.33e-04 | 2.2s | R@1=7.0/7.5 R@5=18.8/19.4 mR=17.8
01:17:39 | INFO    | __main__ |   ↑ New best mean recall: 17.80
01:17:47 | INFO    | __main__ | Epoch   6/20 | loss=1.0419 val=2.7200 | lr=8.83e-04 | 2.7s | R@1=7.1/7.8 R@5=19.2/20.3 mR=18.4
01:17:47 | INFO    | __main__ |   ↑ New best mean recall: 18.37
01:17:55 | INFO    | __main__ | Epoch   7/20 | loss=1.0153 val=2.7072 | lr=8.21e-04 | 2.7s | R@1=7.3/7.9 R@5=19.5/20.5 mR=18.6
01:17:55 | INFO    | __main__ |   ↑ New best mean recall: 18.63
01:18:02 | INFO    | __main__ | Epoch   8/20 | loss=0.9969 val=2.6994 | lr=7.50e-04 | 2.7s | R@1=7.5/8.2 R@5=20.2/21.0 mR=19.1
01:18:02 | INFO    | __main__ |   ↑ New best mean recall: 19.06
01:18:10 | INFO    | __main__ | Epoch   9/20 | loss=0.9813 val=2.6750 | lr=6.71e-04 | 2.7s | R@1=7.5/8.3 R@5=20.3/21.1 mR=19.1
01:18:10 | INFO    | __main__ |   ↑ New best mean recall: 19.14
01:18:18 | INFO    | __main__ | Epoch  10/20 | loss=0.9639 val=2.6718 | lr=5.87e-04 | 2.7s | R@1=7.5/8.3 R@5=20.1/21.2 mR=19.2
01:18:18 | INFO    | __main__ |   ↑ New best mean recall: 19.17
01:18:25 | INFO    | __main__ | Epoch  11/20 | loss=0.9490 val=2.6583 | lr=5.00e-04 | 2.6s | R@1=7.7/8.2 R@5=20.4/21.3 mR=19.3
01:18:25 | INFO    | __main__ |   ↑ New best mean recall: 19.31
01:18:33 | INFO    | __main__ | Epoch  12/20 | loss=0.9324 val=2.6468 | lr=4.13e-04 | 2.6s | R@1=7.8/8.6 R@5=20.7/21.7 mR=19.7
01:18:33 | INFO    | __main__ |   ↑ New best mean recall: 19.67
01:18:41 | INFO    | __main__ | Epoch  13/20 | loss=0.9233 val=2.6352 | lr=3.29e-04 | 2.7s | R@1=7.9/8.6 R@5=20.8/21.7 mR=19.7
01:18:48 | INFO    | __main__ | Epoch  14/20 | loss=0.9050 val=2.6308 | lr=2.50e-04 | 2.5s | R@1=7.8/8.6 R@5=20.9/21.9 mR=19.7
01:18:48 | INFO    | __main__ |   ↑ New best mean recall: 19.74
01:18:55 | INFO    | __main__ | Epoch  15/20 | loss=0.8941 val=2.6220 | lr=1.79e-04 | 2.4s | R@1=8.0/8.7 R@5=21.0/22.1 mR=19.9
01:18:55 | INFO    | __main__ |   ↑ New best mean recall: 19.91
01:19:02 | INFO    | __main__ | Epoch  16/20 | loss=0.8819 val=2.6176 | lr=1.17e-04 | 2.3s | R@1=8.1/8.7 R@5=21.2/22.2 mR=19.9
01:19:02 | INFO    | __main__ |   ↑ New best mean recall: 19.93
01:19:09 | INFO    | __main__ | Epoch  17/20 | loss=0.8690 val=2.6150 | lr=6.70e-05 | 2.5s | R@1=8.0/8.7 R@5=21.2/22.3 mR=20.1
01:19:09 | INFO    | __main__ |   ↑ New best mean recall: 20.05
01:19:17 | INFO    | __main__ | Epoch  18/20 | loss=0.8655 val=2.6115 | lr=3.02e-05 | 2.7s | R@1=8.1/8.8 R@5=21.3/22.4 mR=20.1
01:19:17 | INFO    | __main__ |   ↑ New best mean recall: 20.10
01:19:24 | INFO    | __main__ | Epoch  19/20 | loss=0.8579 val=2.6116 | lr=7.60e-06 | 2.4s | R@1=8.1/8.7 R@5=21.2/22.3 mR=20.1
01:19:32 | INFO    | __main__ | Epoch  20/20 | loss=0.8553 val=2.6115 | lr=0.00e+00 | 2.8s | R@1=8.1/8.7 R@5=21.2/22.3 mR=20.1
