01:19:41 | INFO    | __main__ | wandb logging enabled (project=shared-anchors, run=sa_k128_ds512_cls).
01:19:41 | INFO    | __main__ | Starting training for 20 epochs...
01:19:41 | INFO    | __main__ | Config: model=shared_anchor K=128 bs=256 lr=1.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
01:19:48 | INFO    | __main__ | Epoch   1/20 | loss=2.2766 val=3.0480 | lr=5.01e-04 | 3.0s | R@1=4.5/4.8 R@5=13.0/13.3 mR=12.3
01:19:48 | INFO    | __main__ |   ↑ New best mean recall: 12.33
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
01:19:56 | INFO    | __main__ | Epoch   2/20 | loss=1.2913 val=2.9743 | lr=1.00e-03 | 2.7s | R@1=5.0/5.6 R@5=14.3/15.8 mR=14.1
01:19:56 | INFO    | __main__ |   ↑ New best mean recall: 14.11
01:20:03 | INFO    | __main__ | Epoch   3/20 | loss=1.2029 val=2.8378 | lr=9.92e-04 | 2.8s | R@1=6.0/7.0 R@5=17.0/18.1 mR=16.3
01:20:03 | INFO    | __main__ |   ↑ New best mean recall: 16.30
01:20:10 | INFO    | __main__ | Epoch   4/20 | loss=1.1048 val=2.7646 | lr=9.70e-04 | 2.3s | R@1=6.7/7.4 R@5=18.7/19.3 mR=17.6
01:20:10 | INFO    | __main__ |   ↑ New best mean recall: 17.59
01:20:17 | INFO    | __main__ | Epoch   5/20 | loss=1.0589 val=2.7430 | lr=9.33e-04 | 2.3s | R@1=7.1/7.5 R@5=19.1/19.8 mR=18.1
01:20:18 | INFO    | __main__ |   ↑ New best mean recall: 18.07
01:20:26 | INFO    | __main__ | Epoch   6/20 | loss=1.0313 val=2.7167 | lr=8.83e-04 | 2.6s | R@1=7.2/7.8 R@5=19.4/20.3 mR=18.4
01:20:26 | INFO    | __main__ |   ↑ New best mean recall: 18.42
01:20:35 | INFO    | __main__ | Epoch   7/20 | loss=1.0112 val=2.7055 | lr=8.21e-04 | 2.9s | R@1=7.3/7.9 R@5=19.6/20.7 mR=18.7
01:20:36 | INFO    | __main__ |   ↑ New best mean recall: 18.69
01:20:44 | INFO    | __main__ | Epoch   8/20 | loss=0.9943 val=2.7032 | lr=7.50e-04 | 3.0s | R@1=7.5/8.2 R@5=20.3/20.8 mR=19.0
01:20:44 | INFO    | __main__ |   ↑ New best mean recall: 19.03
01:20:52 | INFO    | __main__ | Epoch   9/20 | loss=0.9807 val=2.6769 | lr=6.71e-04 | 3.0s | R@1=7.6/8.2 R@5=20.3/21.2 mR=19.2
01:20:52 | INFO    | __main__ |   ↑ New best mean recall: 19.19
01:21:00 | INFO    | __main__ | Epoch  10/20 | loss=0.9636 val=2.6684 | lr=5.87e-04 | 3.0s | R@1=7.6/8.3 R@5=20.4/21.4 mR=19.3
01:21:00 | INFO    | __main__ |   ↑ New best mean recall: 19.27
01:21:08 | INFO    | __main__ | Epoch  11/20 | loss=0.9489 val=2.6598 | lr=5.00e-04 | 2.9s | R@1=7.6/8.3 R@5=20.4/21.3 mR=19.3
01:21:08 | INFO    | __main__ |   ↑ New best mean recall: 19.30
01:21:15 | INFO    | __main__ | Epoch  12/20 | loss=0.9318 val=2.6433 | lr=4.13e-04 | 2.9s | R@1=7.8/8.5 R@5=20.9/21.9 mR=19.8
01:21:16 | INFO    | __main__ |   ↑ New best mean recall: 19.77
01:21:23 | INFO    | __main__ | Epoch  13/20 | loss=0.9221 val=2.6321 | lr=3.29e-04 | 2.7s | R@1=7.9/8.6 R@5=21.1/22.0 mR=19.9
01:21:23 | INFO    | __main__ |   ↑ New best mean recall: 19.85
01:21:31 | INFO    | __main__ | Epoch  14/20 | loss=0.9032 val=2.6276 | lr=2.50e-04 | 2.9s | R@1=7.9/8.5 R@5=21.1/22.0 mR=19.8
01:21:40 | INFO    | __main__ | Epoch  15/20 | loss=0.8913 val=2.6171 | lr=1.79e-04 | 3.4s | R@1=8.1/8.7 R@5=21.2/22.2 mR=20.1
01:21:40 | INFO    | __main__ |   ↑ New best mean recall: 20.14
01:21:49 | INFO    | __main__ | Epoch  16/20 | loss=0.8784 val=2.6108 | lr=1.17e-04 | 3.0s | R@1=8.1/8.6 R@5=21.2/22.4 mR=20.2
01:21:49 | INFO    | __main__ |   ↑ New best mean recall: 20.18
01:21:57 | INFO    | __main__ | Epoch  17/20 | loss=0.8643 val=2.6064 | lr=6.70e-05 | 3.2s | R@1=8.2/8.8 R@5=21.5/22.5 mR=20.3
01:21:57 | INFO    | __main__ |   ↑ New best mean recall: 20.30
01:22:05 | INFO    | __main__ | Epoch  18/20 | loss=0.8601 val=2.6031 | lr=3.02e-05 | 3.0s | R@1=8.1/8.8 R@5=21.4/22.6 mR=20.3
01:22:05 | INFO    | __main__ |   ↑ New best mean recall: 20.30
01:22:12 | INFO    | __main__ | Epoch  19/20 | loss=0.8515 val=2.6030 | lr=7.60e-06 | 2.4s | R@1=8.1/8.8 R@5=21.4/22.6 mR=20.3
01:22:12 | INFO    | __main__ |   ↑ New best mean recall: 20.33
01:22:18 | INFO    | __main__ | Epoch  20/20 | loss=0.8483 val=2.6028 | lr=0.00e+00 | 2.4s | R@1=8.2/8.8 R@5=21.3/22.6 mR=20.3
01:22:18 | INFO    | __main__ |   ↑ New best mean recall: 20.34
