01:37:48 | INFO    | __main__ | wandb logging enabled (project=shared-anchors, run=sa_cls_residual_shared).
01:37:48 | INFO    | __main__ | Starting training for 20 epochs...
01:37:48 | INFO    | __main__ | Config: model=shared_anchor K=128 bs=256 lr=1.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
01:37:56 | INFO    | __main__ | Epoch   1/20 | loss=2.9199 val=3.2786 | lr=5.01e-04 | 3.1s | R@1=3.3/3.5 R@5=10.1/10.1 mR=9.5
01:37:56 | INFO    | __main__ |   ↑ New best mean recall: 9.54
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
01:38:03 | INFO    | __main__ | Epoch   2/20 | loss=1.3267 val=2.9359 | lr=1.00e-03 | 2.6s | R@1=5.7/6.2 R@5=15.7/16.8 mR=15.2
01:38:03 | INFO    | __main__ |   ↑ New best mean recall: 15.15
01:38:10 | INFO    | __main__ | Epoch   3/20 | loss=1.1752 val=2.8225 | lr=9.92e-04 | 2.4s | R@1=6.6/7.4 R@5=18.0/19.3 mR=17.3
01:38:10 | INFO    | __main__ |   ↑ New best mean recall: 17.32
01:38:18 | INFO    | __main__ | Epoch   4/20 | loss=1.1080 val=2.7779 | lr=9.70e-04 | 2.4s | R@1=7.1/8.0 R@5=19.3/20.3 mR=18.4
01:38:18 | INFO    | __main__ |   ↑ New best mean recall: 18.40
01:38:26 | INFO    | __main__ | Epoch   5/20 | loss=1.0715 val=2.7482 | lr=9.33e-04 | 2.5s | R@1=7.5/8.1 R@5=19.7/20.8 mR=18.8
01:38:26 | INFO    | __main__ |   ↑ New best mean recall: 18.79
01:38:33 | INFO    | __main__ | Epoch   6/20 | loss=1.0434 val=2.7245 | lr=8.83e-04 | 2.5s | R@1=7.5/8.4 R@5=20.3/21.4 mR=19.2
01:38:33 | INFO    | __main__ |   ↑ New best mean recall: 19.21
01:38:40 | INFO    | __main__ | Epoch   7/20 | loss=1.0215 val=2.7132 | lr=8.21e-04 | 2.5s | R@1=7.8/8.7 R@5=20.7/21.9 mR=19.6
01:38:41 | INFO    | __main__ |   ↑ New best mean recall: 19.64
01:38:48 | INFO    | __main__ | Epoch   8/20 | loss=1.0029 val=2.7082 | lr=7.50e-04 | 2.5s | R@1=7.9/8.9 R@5=21.3/22.1 mR=20.1
01:38:48 | INFO    | __main__ |   ↑ New best mean recall: 20.06
01:38:55 | INFO    | __main__ | Epoch   9/20 | loss=0.9882 val=2.6835 | lr=6.71e-04 | 2.5s | R@1=8.0/8.9 R@5=21.3/22.4 mR=20.2
01:38:55 | INFO    | __main__ |   ↑ New best mean recall: 20.18
