01:40:30 | INFO    | __main__ | wandb logging enabled (project=shared-anchors, run=sa_cls_residual_ds256).
01:40:30 | INFO    | __main__ | Starting training for 20 epochs...
01:40:30 | INFO    | __main__ | Config: model=shared_anchor K=128 bs=256 lr=1.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
01:40:36 | INFO    | __main__ | Epoch   1/20 | loss=2.2312 val=2.9539 | lr=5.01e-04 | 2.8s | R@1=5.2/5.4 R@5=15.2/15.0 mR=14.0
01:40:36 | INFO    | __main__ |   ↑ New best mean recall: 14.02
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
01:40:43 | INFO    | __main__ | Epoch   2/20 | loss=1.1964 val=2.8340 | lr=1.00e-03 | 2.6s | R@1=6.5/7.2 R@5=17.9/19.2 mR=17.2
01:40:43 | INFO    | __main__ |   ↑ New best mean recall: 17.21
01:40:49 | INFO    | __main__ | Epoch   3/20 | loss=1.1162 val=2.7493 | lr=9.92e-04 | 2.5s | R@1=7.5/8.4 R@5=20.0/21.3 mR=19.1
01:40:49 | INFO    | __main__ |   ↑ New best mean recall: 19.13
01:40:55 | INFO    | __main__ | Epoch   4/20 | loss=1.0571 val=2.7146 | lr=9.70e-04 | 2.5s | R@1=7.8/8.8 R@5=21.0/22.2 mR=20.0
01:40:55 | INFO    | __main__ |   ↑ New best mean recall: 19.98
01:41:02 | INFO    | __main__ | Epoch   5/20 | loss=1.0280 val=2.6961 | lr=9.33e-04 | 2.5s | R@1=8.3/9.0 R@5=21.5/22.5 mR=20.4
01:41:02 | INFO    | __main__ |   ↑ New best mean recall: 20.35
01:41:08 | INFO    | __main__ | Epoch   6/20 | loss=1.0038 val=2.6794 | lr=8.83e-04 | 2.5s | R@1=8.4/9.2 R@5=21.8/22.8 mR=20.6
01:41:08 | INFO    | __main__ |   ↑ New best mean recall: 20.61
01:41:14 | INFO    | __main__ | Epoch   7/20 | loss=0.9842 val=2.6690 | lr=8.21e-04 | 2.5s | R@1=8.8/9.3 R@5=22.2/23.2 mR=21.0
