02:38:15 | INFO    | __main__ | wandb logging enabled (project=ReconBA, run=recon_baseline).
02:38:15 | INFO    | __main__ | Starting training for 20 epochs...
02:38:15 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
02:42:37 | INFO    | __main__ | Epoch   1/20 | loss=2.9443 | lr=3.96e-03 | 233.6s | R@1=13.0/14.6 R@5=29.3/31.3 mR=27.9
02:42:37 | INFO    | __main__ |   ↑ New best mean recall: 27.92
02:46:33 | INFO    | __main__ | Epoch   2/20 | loss=1.7545 | lr=7.89e-03 | 200.7s | R@1=17.0/18.8 R@5=35.8/37.8 mR=33.7
02:46:33 | INFO    | __main__ |   ↑ New best mean recall: 33.74
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
02:49:28 | INFO    | __main__ | Epoch   3/20 | loss=1.6235 | lr=7.95e-03 | 144.1s | R@1=19.6/22.7 R@5=39.7/43.0 mR=37.9
02:49:28 | INFO    | __main__ |   ↑ New best mean recall: 37.86
02:52:24 | INFO    | __main__ | Epoch   4/20 | loss=1.5576 | lr=7.78e-03 | 146.3s | R@1=20.2/23.1 R@5=40.1/43.5 mR=38.3
02:52:26 | INFO    | __main__ |   ↑ New best mean recall: 38.35
02:55:20 | INFO    | __main__ | Epoch   5/20 | loss=1.5191 | lr=7.50e-03 | 145.6s | R@1=20.7/23.5 R@5=41.0/43.8 mR=38.9
02:55:20 | INFO    | __main__ |   ↑ New best mean recall: 38.92
02:58:19 | INFO    | __main__ | Epoch   6/20 | loss=1.4912 | lr=7.11e-03 | 151.9s | R@1=21.2/24.2 R@5=41.8/44.3 mR=39.6
02:58:20 | INFO    | __main__ |   ↑ New best mean recall: 39.56
03:01:16 | INFO    | __main__ | Epoch   7/20 | loss=1.4640 | lr=6.64e-03 | 149.3s | R@1=21.5/24.5 R@5=42.0/45.4 mR=40.0
03:01:16 | INFO    | __main__ |   ↑ New best mean recall: 40.04
03:04:13 | INFO    | __main__ | Epoch   8/20 | loss=1.4381 | lr=6.09e-03 | 149.9s | R@1=21.6/25.1 R@5=42.3/45.8 mR=40.5
03:04:13 | INFO    | __main__ |   ↑ New best mean recall: 40.52
03:07:11 | INFO    | __main__ | Epoch   9/20 | loss=1.4067 | lr=5.48e-03 | 149.9s | R@1=22.1/25.0 R@5=42.7/45.8 mR=40.6
03:07:11 | INFO    | __main__ |   ↑ New best mean recall: 40.60
03:10:12 | INFO    | __main__ | Epoch  10/20 | loss=1.3801 | lr=4.82e-03 | 152.9s | R@1=22.3/25.5 R@5=43.4/46.3 mR=41.1
03:10:12 | INFO    | __main__ |   ↑ New best mean recall: 41.09
03:13:19 | INFO    | __main__ | Epoch  11/20 | loss=1.3562 | lr=4.14e-03 | 154.8s | R@1=21.4/25.2 R@5=42.2/46.0 mR=40.4
03:16:23 | INFO    | __main__ | Epoch  12/20 | loss=1.3268 | lr=3.46e-03 | 148.8s | R@1=23.1/26.2 R@5=44.4/47.2 mR=42.0
03:16:23 | INFO    | __main__ |   ↑ New best mean recall: 42.00
03:19:24 | INFO    | __main__ | Epoch  13/20 | loss=1.2899 | lr=2.79e-03 | 145.9s | R@1=22.6/25.9 R@5=43.9/47.2 mR=41.7
03:22:24 | INFO    | __main__ | Epoch  14/20 | loss=1.2589 | lr=2.16e-03 | 150.1s | R@1=22.5/26.2 R@5=43.5/47.4 mR=41.8
03:25:15 | INFO    | __main__ | Epoch  15/20 | loss=1.2182 | lr=1.58e-03 | 143.5s | R@1=23.1/26.6 R@5=44.7/47.7 mR=42.3
03:25:15 | INFO    | __main__ |   ↑ New best mean recall: 42.31
03:28:09 | INFO    | __main__ | Epoch  16/20 | loss=1.1748 | lr=1.07e-03 | 146.9s | R@1=22.8/26.2 R@5=44.4/47.4 mR=42.0
03:31:06 | INFO    | __main__ | Epoch  17/20 | loss=1.1346 | lr=6.50e-04 | 149.3s | R@1=22.8/26.1 R@5=44.5/47.1 mR=41.9
03:33:56 | INFO    | __main__ | Epoch  18/20 | loss=1.0955 | lr=3.26e-04 | 143.9s | R@1=22.7/26.1 R@5=44.2/47.2 mR=41.9
03:39:09 | INFO    | __main__ | Epoch  19/20 | loss=1.0656 | lr=1.10e-04 | 282.9s | R@1=22.6/26.1 R@5=44.3/47.2 mR=41.9
03:42:36 | INFO    | __main__ | Epoch  20/20 | loss=1.0437 | lr=8.20e-06 | 176.3s | R@1=22.6/26.2 R@5=44.2/47.2 mR=41.9
