02:38:15 | INFO    | __main__ | wandb logging enabled (project=ReconBA, run=recon_lam0.1).
02:38:15 | INFO    | __main__ | Starting training for 20 epochs...
02:38:15 | INFO    | __main__ | Config: model=bridge_anchors K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
02:42:37 | INFO    | __main__ | Epoch   1/20 | loss=2.9447 | lr=3.96e-03 | 232.7s | R@1=13.0/14.6 R@5=29.3/31.3 mR=27.9
02:42:37 | INFO    | __main__ |   ↑ New best mean recall: 27.92
02:46:30 | INFO    | __main__ | Epoch   2/20 | loss=1.7548 | lr=7.89e-03 | 200.2s | R@1=17.0/18.8 R@5=35.8/37.8 mR=33.7
02:46:30 | INFO    | __main__ |   ↑ New best mean recall: 33.74
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
02:49:17 | INFO    | __main__ | Epoch   3/20 | loss=1.6237 | lr=7.95e-03 | 138.1s | R@1=19.6/22.7 R@5=39.7/43.0 mR=37.9
02:49:17 | INFO    | __main__ |   ↑ New best mean recall: 37.86
02:52:07 | INFO    | __main__ | Epoch   4/20 | loss=1.5579 | lr=7.78e-03 | 140.8s | R@1=20.2/23.1 R@5=40.1/43.5 mR=38.3
02:52:07 | INFO    | __main__ |   ↑ New best mean recall: 38.35
02:54:57 | INFO    | __main__ | Epoch   5/20 | loss=1.5193 | lr=7.50e-03 | 140.5s | R@1=20.7/23.5 R@5=41.0/43.8 mR=38.9
02:54:57 | INFO    | __main__ |   ↑ New best mean recall: 38.92
02:57:51 | INFO    | __main__ | Epoch   6/20 | loss=1.4914 | lr=7.11e-03 | 144.4s | R@1=21.2/24.2 R@5=41.8/44.3 mR=39.6
02:57:52 | INFO    | __main__ |   ↑ New best mean recall: 39.56
03:00:42 | INFO    | __main__ | Epoch   7/20 | loss=1.4643 | lr=6.64e-03 | 143.0s | R@1=21.5/24.5 R@5=42.0/45.4 mR=40.0
03:00:42 | INFO    | __main__ |   ↑ New best mean recall: 40.04
03:03:38 | INFO    | __main__ | Epoch   8/20 | loss=1.4383 | lr=6.09e-03 | 147.6s | R@1=21.6/25.1 R@5=42.3/45.8 mR=40.5
03:03:38 | INFO    | __main__ |   ↑ New best mean recall: 40.52
03:06:36 | INFO    | __main__ | Epoch   9/20 | loss=1.4070 | lr=5.48e-03 | 149.9s | R@1=22.1/25.0 R@5=42.7/45.8 mR=40.6
03:06:36 | INFO    | __main__ |   ↑ New best mean recall: 40.60
03:09:29 | INFO    | __main__ | Epoch  10/20 | loss=1.3804 | lr=4.82e-03 | 139.2s | R@1=22.3/25.5 R@5=43.4/46.3 mR=41.1
03:09:29 | INFO    | __main__ |   ↑ New best mean recall: 41.10
03:12:29 | INFO    | __main__ | Epoch  11/20 | loss=1.3565 | lr=4.14e-03 | 147.8s | R@1=21.4/25.2 R@5=42.2/46.0 mR=40.4
03:15:26 | INFO    | __main__ | Epoch  12/20 | loss=1.3270 | lr=3.46e-03 | 145.7s | R@1=23.1/26.2 R@5=44.4/47.2 mR=42.0
03:15:26 | INFO    | __main__ |   ↑ New best mean recall: 42.00
03:18:22 | INFO    | __main__ | Epoch  13/20 | loss=1.2902 | lr=2.79e-03 | 144.8s | R@1=22.6/25.9 R@5=43.9/47.2 mR=41.7
03:21:24 | INFO    | __main__ | Epoch  14/20 | loss=1.2591 | lr=2.16e-03 | 149.9s | R@1=22.5/26.2 R@5=43.5/47.4 mR=41.8
03:24:12 | INFO    | __main__ | Epoch  15/20 | loss=1.2185 | lr=1.58e-03 | 141.7s | R@1=23.1/26.6 R@5=44.8/47.7 mR=42.3
03:24:12 | INFO    | __main__ |   ↑ New best mean recall: 42.31
03:27:02 | INFO    | __main__ | Epoch  16/20 | loss=1.1751 | lr=1.07e-03 | 143.4s | R@1=22.8/26.2 R@5=44.4/47.4 mR=42.0
03:29:54 | INFO    | __main__ | Epoch  17/20 | loss=1.1349 | lr=6.50e-04 | 145.5s | R@1=22.8/26.1 R@5=44.5/47.1 mR=41.9
03:32:43 | INFO    | __main__ | Epoch  18/20 | loss=1.0958 | lr=3.26e-04 | 143.8s | R@1=22.7/26.1 R@5=44.2/47.2 mR=41.9
03:37:24 | INFO    | __main__ | Epoch  19/20 | loss=1.0659 | lr=1.10e-04 | 254.6s | R@1=22.6/26.1 R@5=44.3/47.2 mR=41.9
03:41:00 | INFO    | __main__ | Epoch  20/20 | loss=1.0439 | lr=8.20e-06 | 184.7s | R@1=22.6/26.2 R@5=44.2/47.2 mR=41.9
