06:27:21 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_rt2.0_lb0.01).
06:27:21 | INFO    | __main__ | Starting training for 20 epochs...
06:27:21 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
06:30:36 | INFO    | __main__ | Epoch   1/20 | loss=5.3119 | lr=3.96e-03 | 167.4s | R@1=1.4/3.3 R@5=4.5/9.1 mR=6.5
06:30:36 | INFO    | __main__ |   ↑ New best mean recall: 6.47
06:33:18 | INFO    | __main__ | Epoch   2/20 | loss=3.4614 | lr=7.89e-03 | 137.0s | R@1=1.0/2.3 R@5=3.7/6.8 mR=5.0
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
06:36:00 | INFO    | __main__ | Epoch   3/20 | loss=3.8417 | lr=7.95e-03 | 136.6s | R@1=1.3/1.8 R@5=4.1/5.5 mR=4.6
06:38:49 | INFO    | __main__ | Epoch   4/20 | loss=3.9312 | lr=7.78e-03 | 136.2s | R@1=1.9/2.8 R@5=5.8/7.8 mR=6.5
06:38:49 | INFO    | __main__ |   ↑ New best mean recall: 6.50
06:41:39 | INFO    | __main__ | Epoch   5/20 | loss=3.8762 | lr=7.50e-03 | 143.8s | R@1=1.0/1.7 R@5=3.4/5.0 mR=4.0
06:44:22 | INFO    | __main__ | Epoch   6/20 | loss=3.9185 | lr=7.11e-03 | 138.3s | R@1=1.7/2.7 R@5=5.0/7.6 mR=6.0
06:47:20 | INFO    | __main__ | Epoch   7/20 | loss=3.8424 | lr=6.64e-03 | 141.9s | R@1=1.6/2.1 R@5=4.8/6.6 mR=5.4
06:49:51 | INFO    | __main__ | Epoch   8/20 | loss=3.5972 | lr=6.09e-03 | 127.3s | R@1=1.4/2.0 R@5=4.3/6.2 mR=5.0
06:52:31 | INFO    | __main__ | Epoch   9/20 | loss=3.4313 | lr=5.48e-03 | 131.3s | R@1=0.9/1.5 R@5=3.0/4.6 mR=3.7
06:55:00 | INFO    | __main__ | Epoch  10/20 | loss=3.3880 | lr=4.82e-03 | 125.0s | R@1=2.2/2.9 R@5=6.8/8.3 mR=7.1
06:55:00 | INFO    | __main__ |   ↑ New best mean recall: 7.11
06:57:36 | INFO    | __main__ | Epoch  11/20 | loss=3.1538 | lr=4.14e-03 | 130.3s | R@1=3.4/4.0 R@5=9.7/11.2 mR=9.8
06:57:36 | INFO    | __main__ |   ↑ New best mean recall: 9.77
06:59:58 | INFO    | __main__ | Epoch  12/20 | loss=3.0256 | lr=3.46e-03 | 118.8s | R@1=3.6/4.0 R@5=10.3/11.3 mR=10.1
06:59:58 | INFO    | __main__ |   ↑ New best mean recall: 10.13
07:02:20 | INFO    | __main__ | Epoch  13/20 | loss=2.8740 | lr=2.79e-03 | 118.4s | R@1=4.2/4.9 R@5=11.8/13.0 mR=11.7
07:02:20 | INFO    | __main__ |   ↑ New best mean recall: 11.66
07:04:50 | INFO    | __main__ | Epoch  14/20 | loss=2.7631 | lr=2.16e-03 | 126.4s | R@1=4.3/5.0 R@5=12.4/13.5 mR=12.1
07:04:50 | INFO    | __main__ |   ↑ New best mean recall: 12.11
07:07:19 | INFO    | __main__ | Epoch  15/20 | loss=2.6000 | lr=1.58e-03 | 125.3s | R@1=5.4/6.4 R@5=14.8/16.2 mR=14.4
07:07:20 | INFO    | __main__ |   ↑ New best mean recall: 14.42
07:09:46 | INFO    | __main__ | Epoch  16/20 | loss=2.4992 | lr=1.07e-03 | 122.8s | R@1=6.3/6.6 R@5=16.3/17.1 mR=15.5
07:09:46 | INFO    | __main__ |   ↑ New best mean recall: 15.50
07:12:13 | INFO    | __main__ | Epoch  17/20 | loss=2.3955 | lr=6.50e-04 | 123.7s | R@1=6.9/7.7 R@5=17.7/18.9 mR=17.0
07:12:13 | INFO    | __main__ |   ↑ New best mean recall: 17.04
07:14:38 | INFO    | __main__ | Epoch  18/20 | loss=2.2539 | lr=3.26e-04 | 121.4s | R@1=8.8/9.6 R@5=20.9/22.9 mR=20.3
07:14:38 | INFO    | __main__ |   ↑ New best mean recall: 20.33
07:17:04 | INFO    | __main__ | Epoch  19/20 | loss=2.0812 | lr=1.10e-04 | 121.6s | R@1=11.7/13.1 R@5=27.0/29.0 mR=25.7
07:17:04 | INFO    | __main__ |   ↑ New best mean recall: 25.71
07:19:35 | INFO    | __main__ | Epoch  20/20 | loss=1.8280 | lr=8.20e-06 | 126.7s | R@1=14.8/16.6 R@5=32.6/34.7 mR=30.9
07:19:35 | INFO    | __main__ |   ↑ New best mean recall: 30.93
