06:27:21 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_rt0.5_lb0.01).
06:27:21 | INFO    | __main__ | Starting training for 20 epochs...
06:27:21 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
06:30:38 | INFO    | __main__ | Epoch   1/20 | loss=5.8396 | lr=3.96e-03 | 169.8s | R@1=1.9/2.8 R@5=6.3/8.5 mR=7.0
06:30:38 | INFO    | __main__ |   ↑ New best mean recall: 7.01
06:33:20 | INFO    | __main__ | Epoch   2/20 | loss=3.9864 | lr=7.89e-03 | 135.9s | R@1=0.2/0.9 R@5=0.8/3.2 mR=1.9
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
06:36:03 | INFO    | __main__ | Epoch   3/20 | loss=4.6331 | lr=7.95e-03 | 135.8s | R@1=0.6/1.3 R@5=2.0/4.3 mR=3.0
06:38:47 | INFO    | __main__ | Epoch   4/20 | loss=4.6170 | lr=7.78e-03 | 134.2s | R@1=0.7/1.1 R@5=2.5/3.7 mR=3.0
06:41:39 | INFO    | __main__ | Epoch   5/20 | loss=4.4685 | lr=7.50e-03 | 144.4s | R@1=0.9/1.5 R@5=2.8/4.8 mR=3.6
06:44:28 | INFO    | __main__ | Epoch   6/20 | loss=4.4416 | lr=7.11e-03 | 141.5s | R@1=0.8/1.1 R@5=2.7/3.2 mR=2.9
06:47:24 | INFO    | __main__ | Epoch   7/20 | loss=4.3209 | lr=6.64e-03 | 142.4s | R@1=0.4/1.2 R@5=1.4/3.5 mR=2.4
06:49:59 | INFO    | __main__ | Epoch   8/20 | loss=4.4645 | lr=6.09e-03 | 129.2s | R@1=1.0/1.7 R@5=3.4/5.3 mR=4.2
06:52:35 | INFO    | __main__ | Epoch   9/20 | loss=4.1686 | lr=5.48e-03 | 131.5s | R@1=0.4/0.8 R@5=1.4/2.9 mR=2.1
06:55:13 | INFO    | __main__ | Epoch  10/20 | loss=4.0291 | lr=4.82e-03 | 133.8s | R@1=1.3/1.6 R@5=4.1/5.0 mR=4.4
06:57:50 | INFO    | __main__ | Epoch  11/20 | loss=3.7862 | lr=4.14e-03 | 131.7s | R@1=2.1/2.9 R@5=6.5/8.3 mR=7.0
07:00:29 | INFO    | __main__ | Epoch  12/20 | loss=3.6249 | lr=3.46e-03 | 135.1s | R@1=0.9/1.7 R@5=3.1/5.2 mR=4.0
07:03:08 | INFO    | __main__ | Epoch  13/20 | loss=3.3362 | lr=2.79e-03 | 134.1s | R@1=2.4/3.4 R@5=7.4/9.3 mR=7.9
07:03:08 | INFO    | __main__ |   ↑ New best mean recall: 7.90
07:05:50 | INFO    | __main__ | Epoch  14/20 | loss=3.1361 | lr=2.16e-03 | 137.1s | R@1=2.4/3.7 R@5=7.1/10.5 mR=8.3
07:05:50 | INFO    | __main__ |   ↑ New best mean recall: 8.31
07:08:30 | INFO    | __main__ | Epoch  15/20 | loss=2.8047 | lr=1.58e-03 | 135.7s | R@1=4.2/5.2 R@5=11.8/13.8 mR=12.0
07:08:30 | INFO    | __main__ |   ↑ New best mean recall: 11.98
07:11:11 | INFO    | __main__ | Epoch  16/20 | loss=2.6230 | lr=1.07e-03 | 137.1s | R@1=5.4/5.7 R@5=14.3/14.9 mR=13.7
07:11:11 | INFO    | __main__ |   ↑ New best mean recall: 13.65
07:13:53 | INFO    | __main__ | Epoch  17/20 | loss=2.4991 | lr=6.50e-04 | 137.3s | R@1=6.6/7.6 R@5=17.0/18.4 mR=16.6
07:13:53 | INFO    | __main__ |   ↑ New best mean recall: 16.59
07:16:37 | INFO    | __main__ | Epoch  18/20 | loss=2.3419 | lr=3.26e-04 | 139.4s | R@1=7.8/8.7 R@5=19.4/21.0 mR=18.7
07:16:37 | INFO    | __main__ |   ↑ New best mean recall: 18.73
07:19:21 | INFO    | __main__ | Epoch  19/20 | loss=2.1598 | lr=1.10e-04 | 139.3s | R@1=10.7/12.0 R@5=25.1/26.7 mR=23.9
07:19:21 | INFO    | __main__ |   ↑ New best mean recall: 23.91
07:22:13 | INFO    | __main__ | Epoch  20/20 | loss=1.9006 | lr=8.20e-06 | 144.2s | R@1=14.3/16.0 R@5=31.6/33.1 mR=29.8
07:22:13 | INFO    | __main__ |   ↑ New best mean recall: 29.81
