07:21:43 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_rt1.0_lb0.0).
07:21:43 | INFO    | __main__ | Starting training for 20 epochs...
07:21:43 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
07:24:49 | INFO    | __main__ | Epoch   1/20 | loss=5.5733 | lr=3.96e-03 | 158.6s | R@1=2.0/3.2 R@5=6.2/9.2 mR=7.3
07:24:49 | INFO    | __main__ |   ↑ New best mean recall: 7.27
07:28:07 | INFO    | __main__ | Epoch   2/20 | loss=4.0647 | lr=7.89e-03 | 167.7s | R@1=0.9/1.1 R@5=2.9/3.5 mR=3.1
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
07:31:22 | INFO    | __main__ | Epoch   3/20 | loss=4.6755 | lr=7.95e-03 | 162.8s | R@1=0.4/1.0 R@5=1.9/3.2 mR=2.5
07:34:20 | INFO    | __main__ | Epoch   4/20 | loss=4.3885 | lr=7.78e-03 | 147.9s | R@1=0.8/1.3 R@5=2.6/4.4 mR=3.4
07:37:17 | INFO    | __main__ | Epoch   5/20 | loss=4.5678 | lr=7.50e-03 | 149.1s | R@1=0.2/0.6 R@5=1.0/2.1 mR=1.5
07:40:16 | INFO    | __main__ | Epoch   6/20 | loss=4.5157 | lr=7.11e-03 | 151.4s | R@1=0.9/1.4 R@5=3.2/4.3 mR=3.7
07:43:03 | INFO    | __main__ | Epoch   7/20 | loss=4.2445 | lr=6.64e-03 | 142.7s | R@1=0.9/1.2 R@5=2.9/4.0 mR=3.3
07:45:46 | INFO    | __main__ | Epoch   8/20 | loss=4.1627 | lr=6.09e-03 | 139.0s | R@1=0.7/1.2 R@5=2.2/3.8 mR=2.9
07:48:31 | INFO    | __main__ | Epoch   9/20 | loss=4.1038 | lr=5.48e-03 | 140.1s | R@1=0.8/1.2 R@5=2.6/3.8 mR=3.1
07:51:16 | INFO    | __main__ | Epoch  10/20 | loss=3.8799 | lr=4.82e-03 | 141.0s | R@1=0.8/1.4 R@5=2.6/4.3 mR=3.4
07:54:00 | INFO    | __main__ | Epoch  11/20 | loss=3.6270 | lr=4.14e-03 | 138.8s | R@1=1.8/2.7 R@5=5.4/7.9 mR=6.3
07:56:41 | INFO    | __main__ | Epoch  12/20 | loss=3.3304 | lr=3.46e-03 | 136.9s | R@1=0.9/1.7 R@5=2.9/5.4 mR=4.0
07:59:24 | INFO    | __main__ | Epoch  13/20 | loss=3.1334 | lr=2.79e-03 | 137.6s | R@1=2.8/4.2 R@5=8.1/11.4 mR=9.2
07:59:24 | INFO    | __main__ |   ↑ New best mean recall: 9.17
08:02:04 | INFO    | __main__ | Epoch  14/20 | loss=2.8678 | lr=2.16e-03 | 135.1s | R@1=4.3/4.7 R@5=11.7/12.7 mR=11.5
08:02:04 | INFO    | __main__ |   ↑ New best mean recall: 11.47
08:04:45 | INFO    | __main__ | Epoch  15/20 | loss=2.7012 | lr=1.58e-03 | 135.0s | R@1=4.6/5.1 R@5=12.7/13.5 mR=12.4
08:04:45 | INFO    | __main__ |   ↑ New best mean recall: 12.37
08:07:23 | INFO    | __main__ | Epoch  16/20 | loss=2.5814 | lr=1.07e-03 | 133.2s | R@1=5.4/5.8 R@5=14.1/14.9 mR=13.6
08:07:23 | INFO    | __main__ |   ↑ New best mean recall: 13.63
08:10:03 | INFO    | __main__ | Epoch  17/20 | loss=2.4424 | lr=6.50e-04 | 134.1s | R@1=6.8/7.3 R@5=17.3/18.3 mR=16.5
08:10:03 | INFO    | __main__ |   ↑ New best mean recall: 16.54
08:12:46 | INFO    | __main__ | Epoch  18/20 | loss=2.3092 | lr=3.26e-04 | 138.2s | R@1=8.0/8.9 R@5=19.8/21.4 mR=19.1
08:12:47 | INFO    | __main__ |   ↑ New best mean recall: 19.08
08:15:29 | INFO    | __main__ | Epoch  19/20 | loss=2.1330 | lr=1.10e-04 | 137.0s | R@1=10.7/12.0 R@5=25.3/27.0 mR=24.1
08:15:29 | INFO    | __main__ |   ↑ New best mean recall: 24.07
08:18:11 | INFO    | __main__ | Epoch  20/20 | loss=1.8761 | lr=8.20e-06 | 136.7s | R@1=13.7/15.8 R@5=31.1/33.4 mR=29.6
08:18:11 | INFO    | __main__ |   ↑ New best mean recall: 29.59
