08:22:21 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_rt1.0_lb0.1).
08:22:21 | INFO    | __main__ | Starting training for 20 epochs...
08:22:21 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
08:25:15 | INFO    | __main__ | Epoch   1/20 | loss=5.6993 | lr=3.96e-03 | 148.4s | R@1=1.5/2.4 R@5=5.0/6.9 mR=5.7
08:25:15 | INFO    | __main__ |   ↑ New best mean recall: 5.71
08:28:01 | INFO    | __main__ | Epoch   2/20 | loss=3.8599 | lr=7.89e-03 | 137.6s | R@1=0.7/1.2 R@5=2.5/3.9 mR=3.1
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
08:30:46 | INFO    | __main__ | Epoch   3/20 | loss=4.4613 | lr=7.95e-03 | 138.1s | R@1=0.6/1.0 R@5=1.9/3.2 mR=2.4
08:33:29 | INFO    | __main__ | Epoch   4/20 | loss=4.2945 | lr=7.78e-03 | 136.2s | R@1=1.3/1.8 R@5=4.1/5.5 mR=4.6
08:36:08 | INFO    | __main__ | Epoch   5/20 | loss=4.4207 | lr=7.50e-03 | 132.0s | R@1=0.8/1.2 R@5=2.7/3.6 mR=3.1
08:38:45 | INFO    | __main__ | Epoch   6/20 | loss=4.3182 | lr=7.11e-03 | 129.7s | R@1=0.6/1.3 R@5=2.1/4.1 mR=3.0
08:41:23 | INFO    | __main__ | Epoch   7/20 | loss=4.3390 | lr=6.64e-03 | 132.6s | R@1=1.2/2.1 R@5=3.9/6.1 mR=4.8
08:44:02 | INFO    | __main__ | Epoch   8/20 | loss=4.1765 | lr=6.09e-03 | 130.2s | R@1=0.8/1.4 R@5=2.7/4.1 mR=3.3
08:46:35 | INFO    | __main__ | Epoch   9/20 | loss=4.0459 | lr=5.48e-03 | 126.2s | R@1=0.7/1.2 R@5=2.4/3.9 mR=3.1
08:49:14 | INFO    | __main__ | Epoch  10/20 | loss=4.0541 | lr=4.82e-03 | 129.0s | R@1=0.3/1.2 R@5=1.0/3.7 mR=2.2
08:51:48 | INFO    | __main__ | Epoch  11/20 | loss=3.6921 | lr=4.14e-03 | 128.3s | R@1=1.3/2.9 R@5=4.1/8.4 mR=5.9
08:51:49 | INFO    | __main__ |   ↑ New best mean recall: 5.93
08:54:24 | INFO    | __main__ | Epoch  12/20 | loss=3.4536 | lr=3.46e-03 | 128.4s | R@1=2.7/3.1 R@5=7.3/9.0 mR=7.7
08:54:24 | INFO    | __main__ |   ↑ New best mean recall: 7.74
08:57:01 | INFO    | __main__ | Epoch  13/20 | loss=3.2004 | lr=2.79e-03 | 129.0s | R@1=2.9/3.4 R@5=8.5/9.6 mR=8.6
08:57:01 | INFO    | __main__ |   ↑ New best mean recall: 8.55
08:59:38 | INFO    | __main__ | Epoch  14/20 | loss=2.9648 | lr=2.16e-03 | 129.4s | R@1=3.8/4.6 R@5=10.8/12.6 mR=11.0
08:59:38 | INFO    | __main__ |   ↑ New best mean recall: 11.00
09:02:12 | INFO    | __main__ | Epoch  15/20 | loss=2.7639 | lr=1.58e-03 | 127.4s | R@1=5.2/5.8 R@5=13.9/15.3 mR=13.6
09:02:12 | INFO    | __main__ |   ↑ New best mean recall: 13.63
09:04:44 | INFO    | __main__ | Epoch  16/20 | loss=2.6370 | lr=1.07e-03 | 126.1s | R@1=5.8/5.9 R@5=15.2/15.7 mR=14.4
09:04:45 | INFO    | __main__ |   ↑ New best mean recall: 14.36
09:07:21 | INFO    | __main__ | Epoch  17/20 | loss=2.5157 | lr=6.50e-04 | 130.6s | R@1=6.9/7.6 R@5=17.8/18.9 mR=17.0
09:07:21 | INFO    | __main__ |   ↑ New best mean recall: 17.03
09:09:55 | INFO    | __main__ | Epoch  18/20 | loss=2.3802 | lr=3.26e-04 | 126.7s | R@1=8.3/9.4 R@5=20.5/22.0 mR=19.8
09:09:55 | INFO    | __main__ |   ↑ New best mean recall: 19.75
09:12:27 | INFO    | __main__ | Epoch  19/20 | loss=2.2040 | lr=1.10e-04 | 125.1s | R@1=10.6/12.4 R@5=24.9/27.8 mR=24.3
09:12:28 | INFO    | __main__ |   ↑ New best mean recall: 24.28
09:15:00 | INFO    | __main__ | Epoch  20/20 | loss=1.9558 | lr=8.20e-06 | 125.2s | R@1=14.2/16.2 R@5=31.5/33.9 mR=30.1
09:15:00 | INFO    | __main__ |   ↑ New best mean recall: 30.07
