21:45:08 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_topk1_200ep_cos40).
21:45:08 | INFO    | __main__ | Starting training for 200 epochs...
21:45:08 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
21:48:00 | INFO    | __main__ | Epoch   1/200 | loss=5.3119 | lr=3.96e-03 | 146.7s | R@1=1.4/3.3 R@5=4.5/9.1 mR=6.5
21:48:00 | INFO    | __main__ |   ↑ New best mean recall: 6.47
21:50:49 | INFO    | __main__ | Epoch   2/200 | loss=3.4614 | lr=7.89e-03 | 142.0s | R@1=1.0/2.3 R@5=3.7/6.8 mR=5.0
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
21:53:44 | INFO    | __main__ | Epoch   3/200 | loss=3.8803 | lr=7.99e-03 | 149.6s | R@1=0.2/0.7 R@5=0.8/2.4 mR=1.5
21:56:37 | INFO    | __main__ | Epoch   4/200 | loss=4.0592 | lr=7.95e-03 | 147.6s | R@1=0.8/1.9 R@5=2.6/5.7 mR=4.0
21:59:32 | INFO    | __main__ | Epoch   5/200 | loss=3.8571 | lr=7.88e-03 | 148.0s | R@1=1.6/2.4 R@5=5.0/6.9 mR=5.7
22:02:27 | INFO    | __main__ | Epoch   6/200 | loss=4.2006 | lr=7.79e-03 | 148.3s | R@1=1.1/1.9 R@5=3.9/5.6 mR=4.5
22:05:28 | INFO    | __main__ | Epoch   7/200 | loss=4.0094 | lr=7.68e-03 | 151.2s | R@1=1.3/2.1 R@5=4.3/6.5 mR=5.1
22:08:23 | INFO    | __main__ | Epoch   8/200 | loss=4.2046 | lr=7.54e-03 | 147.9s | R@1=1.2/1.8 R@5=4.2/5.4 mR=4.6
22:11:16 | INFO    | __main__ | Epoch   9/200 | loss=3.9000 | lr=7.38e-03 | 146.7s | R@1=0.7/1.1 R@5=2.3/3.4 mR=2.8
22:14:10 | INFO    | __main__ | Epoch  10/200 | loss=3.8601 | lr=7.19e-03 | 146.5s | R@1=0.6/1.2 R@5=1.9/4.2 mR=2.9
