21:45:08 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_topk2_200ep_cos40).
21:45:08 | INFO    | __main__ | Starting training for 200 epochs...
21:45:08 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
21:47:54 | INFO    | __main__ | Epoch   1/200 | loss=5.0847 | lr=3.96e-03 | 142.0s | R@1=2.3/4.0 R@5=6.5/10.6 mR=8.1
21:47:54 | INFO    | __main__ |   ↑ New best mean recall: 8.12
21:50:43 | INFO    | __main__ | Epoch   2/200 | loss=3.2798 | lr=7.89e-03 | 140.3s | R@1=1.1/2.3 R@5=3.4/6.7 mR=4.8
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
21:53:33 | INFO    | __main__ | Epoch   3/200 | loss=3.7101 | lr=7.99e-03 | 145.1s | R@1=1.1/2.1 R@5=3.2/6.5 mR=4.7
21:56:28 | INFO    | __main__ | Epoch   4/200 | loss=3.6934 | lr=7.95e-03 | 146.2s | R@1=1.2/1.9 R@5=3.6/5.7 mR=4.5
21:59:18 | INFO    | __main__ | Epoch   5/200 | loss=3.5115 | lr=7.88e-03 | 145.2s | R@1=1.3/2.2 R@5=4.0/6.3 mR=4.9
22:02:08 | INFO    | __main__ | Epoch   6/200 | loss=3.6037 | lr=7.79e-03 | 145.1s | R@1=1.8/2.5 R@5=5.3/7.3 mR=6.0
22:04:58 | INFO    | __main__ | Epoch   7/200 | loss=3.4498 | lr=7.68e-03 | 145.2s | R@1=2.9/3.1 R@5=8.2/8.7 mR=8.0
22:07:45 | INFO    | __main__ | Epoch   8/200 | loss=3.5332 | lr=7.54e-03 | 141.4s | R@1=0.7/1.6 R@5=2.3/5.0 mR=3.5
22:10:32 | INFO    | __main__ | Epoch   9/200 | loss=3.5006 | lr=7.38e-03 | 141.1s | R@1=2.7/3.9 R@5=8.1/10.8 mR=8.8
22:10:32 | INFO    | __main__ |   ↑ New best mean recall: 8.84
22:13:20 | INFO    | __main__ | Epoch  10/200 | loss=3.4849 | lr=7.19e-03 | 141.3s | R@1=2.4/3.2 R@5=7.0/9.4 mR=7.8
22:16:02 | INFO    | __main__ | Epoch  11/200 | loss=3.4800 | lr=6.99e-03 | 136.8s | R@1=1.4/3.7 R@5=4.1/10.2 mR=6.8
22:18:47 | INFO    | __main__ | Epoch  12/200 | loss=3.2419 | lr=6.76e-03 | 139.0s | R@1=3.4/4.2 R@5=9.7/11.5 mR=10.0
22:18:47 | INFO    | __main__ |   ↑ New best mean recall: 10.00
22:21:34 | INFO    | __main__ | Epoch  13/200 | loss=3.1244 | lr=6.52e-03 | 142.3s | R@1=3.8/4.4 R@5=10.9/12.0 mR=10.7
22:21:35 | INFO    | __main__ |   ↑ New best mean recall: 10.68
22:24:24 | INFO    | __main__ | Epoch  14/200 | loss=3.0940 | lr=6.26e-03 | 143.1s | R@1=3.3/4.6 R@5=9.8/12.5 mR=10.5
22:27:11 | INFO    | __main__ | Epoch  15/200 | loss=3.1578 | lr=5.98e-03 | 141.0s | R@1=1.4/3.3 R@5=4.2/9.3 mR=6.5
22:29:56 | INFO    | __main__ | Epoch  16/200 | loss=2.8865 | lr=5.70e-03 | 140.1s | R@1=3.1/4.8 R@5=9.2/13.1 mR=10.4
22:32:44 | INFO    | __main__ | Epoch  17/200 | loss=2.9209 | lr=5.40e-03 | 142.7s | R@1=3.9/4.4 R@5=10.4/12.4 mR=10.7
22:32:44 | INFO    | __main__ |   ↑ New best mean recall: 10.75
22:35:34 | INFO    | __main__ | Epoch  18/200 | loss=2.8100 | lr=5.09e-03 | 141.2s | R@1=3.8/5.3 R@5=10.4/13.6 mR=11.3
22:35:34 | INFO    | __main__ |   ↑ New best mean recall: 11.31
22:38:20 | INFO    | __main__ | Epoch  19/200 | loss=2.7564 | lr=4.77e-03 | 140.8s | R@1=3.9/5.0 R@5=10.9/13.5 mR=11.4
22:38:20 | INFO    | __main__ |   ↑ New best mean recall: 11.39
22:41:10 | INFO    | __main__ | Epoch  20/200 | loss=2.6895 | lr=4.45e-03 | 145.1s | R@1=5.0/5.8 R@5=13.2/15.4 mR=13.3
22:41:10 | INFO    | __main__ |   ↑ New best mean recall: 13.28
22:44:01 | INFO    | __main__ | Epoch  21/200 | loss=2.6668 | lr=4.13e-03 | 142.8s | R@1=5.1/5.5 R@5=13.6/14.3 mR=13.0
22:46:42 | INFO    | __main__ | Epoch  22/200 | loss=2.6165 | lr=3.80e-03 | 135.7s | R@1=5.3/6.6 R@5=14.4/17.0 mR=14.6
22:46:42 | INFO    | __main__ |   ↑ New best mean recall: 14.64
22:49:26 | INFO    | __main__ | Epoch  23/200 | loss=2.5887 | lr=3.48e-03 | 136.8s | R@1=6.3/7.1 R@5=16.0/17.7 mR=15.7
22:49:26 | INFO    | __main__ |   ↑ New best mean recall: 15.67
22:52:13 | INFO    | __main__ | Epoch  24/200 | loss=2.5555 | lr=3.16e-03 | 141.1s | R@1=5.3/6.4 R@5=14.0/16.2 mR=14.0
22:55:03 | INFO    | __main__ | Epoch  25/200 | loss=2.4935 | lr=2.85e-03 | 143.9s | R@1=6.0/7.2 R@5=15.6/17.8 mR=15.5
22:57:54 | INFO    | __main__ | Epoch  26/200 | loss=2.4719 | lr=2.54e-03 | 143.7s | R@1=7.1/8.2 R@5=18.3/19.8 mR=17.7
22:57:54 | INFO    | __main__ |   ↑ New best mean recall: 17.66
23:00:43 | INFO    | __main__ | Epoch  27/200 | loss=2.4424 | lr=2.24e-03 | 142.1s | R@1=6.9/7.8 R@5=17.9/18.8 mR=17.1
23:03:27 | INFO    | __main__ | Epoch  28/200 | loss=2.3982 | lr=1.96e-03 | 134.0s | R@1=7.7/8.4 R@5=18.8/20.1 mR=18.1
23:03:27 | INFO    | __main__ |   ↑ New best mean recall: 18.13
23:06:11 | INFO    | __main__ | Epoch  29/200 | loss=2.3606 | lr=1.68e-03 | 138.4s | R@1=7.7/8.8 R@5=18.8/20.7 mR=18.4
23:06:11 | INFO    | __main__ |   ↑ New best mean recall: 18.38
23:08:59 | INFO    | __main__ | Epoch  30/200 | loss=2.2916 | lr=1.43e-03 | 139.1s | R@1=8.1/9.3 R@5=19.8/22.2 mR=19.4
23:08:59 | INFO    | __main__ |   ↑ New best mean recall: 19.38
23:11:47 | INFO    | __main__ | Epoch  31/200 | loss=2.2716 | lr=1.19e-03 | 139.9s | R@1=8.6/10.0 R@5=20.9/23.2 mR=20.4
23:11:47 | INFO    | __main__ |   ↑ New best mean recall: 20.37
23:14:37 | INFO    | __main__ | Epoch  32/200 | loss=2.2168 | lr=9.66e-04 | 143.3s | R@1=10.0/11.0 R@5=23.3/24.9 mR=22.3
23:14:37 | INFO    | __main__ |   ↑ New best mean recall: 22.34
23:17:24 | INFO    | __main__ | Epoch  33/200 | loss=2.1285 | lr=7.65e-04 | 139.8s | R@1=11.2/11.8 R@5=25.4/26.3 mR=23.8
23:17:24 | INFO    | __main__ |   ↑ New best mean recall: 23.83
23:20:12 | INFO    | __main__ | Epoch  34/200 | loss=2.1060 | lr=5.85e-04 | 141.4s | R@1=11.4/13.0 R@5=25.8/28.1 mR=24.8
23:20:12 | INFO    | __main__ |   ↑ New best mean recall: 24.85
23:23:03 | INFO    | __main__ | Epoch  35/200 | loss=2.0402 | lr=4.27e-04 | 142.3s | R@1=11.6/13.1 R@5=27.0/28.9 mR=25.6
23:23:03 | INFO    | __main__ |   ↑ New best mean recall: 25.65
23:25:52 | INFO    | __main__ | Epoch  36/200 | loss=1.9500 | lr=2.93e-04 | 140.8s | R@1=13.4/15.4 R@5=29.6/31.9 mR=28.4
23:25:52 | INFO    | __main__ |   ↑ New best mean recall: 28.37
23:28:36 | INFO    | __main__ | Epoch  37/200 | loss=1.8739 | lr=1.84e-04 | 138.0s | R@1=14.5/16.7 R@5=31.7/34.6 mR=30.4
23:28:36 | INFO    | __main__ |   ↑ New best mean recall: 30.44
23:31:20 | INFO    | __main__ | Epoch  38/200 | loss=1.7781 | lr=9.90e-05 | 137.0s | R@1=16.3/18.7 R@5=34.7/37.2 mR=33.1
23:31:20 | INFO    | __main__ |   ↑ New best mean recall: 33.11
