03:55:14 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_topk2_cos40_clamp).
03:55:14 | INFO    | __main__ | Starting training for 200 epochs...
03:55:14 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
03:57:53 | INFO    | __main__ | Epoch   1/200 | loss=5.0847 | lr=3.96e-03 | 132.9s | R@1=2.3/4.0 R@5=6.5/10.6 mR=8.1
03:57:53 | INFO    | __main__ |   ↑ New best mean recall: 8.12
04:00:39 | INFO    | __main__ | Epoch   2/200 | loss=3.2798 | lr=7.89e-03 | 134.1s | R@1=1.1/2.3 R@5=3.4/6.7 mR=4.8
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
04:03:32 | INFO    | __main__ | Epoch   3/200 | loss=3.7706 | lr=7.99e-03 | 149.1s | R@1=0.8/1.2 R@5=2.8/3.6 mR=3.1
04:06:31 | INFO    | __main__ | Epoch   4/200 | loss=3.6815 | lr=7.95e-03 | 152.3s | R@1=1.0/1.7 R@5=3.2/5.2 mR=4.0
04:09:29 | INFO    | __main__ | Epoch   5/200 | loss=3.7255 | lr=7.88e-03 | 153.2s | R@1=2.5/3.5 R@5=7.4/9.5 mR=8.0
04:12:25 | INFO    | __main__ | Epoch   6/200 | loss=3.5289 | lr=7.79e-03 | 149.3s | R@1=1.4/2.6 R@5=4.7/7.9 mR=5.9
04:15:21 | INFO    | __main__ | Epoch   7/200 | loss=3.6856 | lr=7.68e-03 | 151.4s | R@1=1.8/3.5 R@5=5.3/10.0 mR=7.3
04:18:15 | INFO    | __main__ | Epoch   8/200 | loss=3.4730 | lr=7.54e-03 | 148.1s | R@1=2.8/3.7 R@5=8.1/9.9 mR=8.5
04:18:15 | INFO    | __main__ |   ↑ New best mean recall: 8.49
04:21:09 | INFO    | __main__ | Epoch   9/200 | loss=3.5720 | lr=7.38e-03 | 149.8s | R@1=1.8/2.7 R@5=5.5/7.7 mR=6.3
04:24:04 | INFO    | __main__ | Epoch  10/200 | loss=3.5877 | lr=7.19e-03 | 149.5s | R@1=0.4/0.8 R@5=1.5/2.7 mR=2.1
04:27:01 | INFO    | __main__ | Epoch  11/200 | loss=3.4391 | lr=6.99e-03 | 150.6s | R@1=2.6/3.6 R@5=7.7/9.9 mR=8.3
04:29:47 | INFO    | __main__ | Epoch  12/200 | loss=3.2387 | lr=6.76e-03 | 140.4s | R@1=2.8/4.7 R@5=8.0/12.8 mR=9.8
04:29:47 | INFO    | __main__ |   ↑ New best mean recall: 9.78
