07:08:27 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_topk1_cos40_clamp).
07:08:27 | INFO    | __main__ | Starting training for 200 epochs...
07:08:27 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
07:11:12 | INFO    | __main__ | Epoch   1/200 | loss=5.3119 | lr=3.96e-03 | 137.9s | R@1=1.4/3.3 R@5=4.5/9.1 mR=6.5
07:11:12 | INFO    | __main__ |   ↑ New best mean recall: 6.47
07:14:01 | INFO    | __main__ | Epoch   2/200 | loss=3.4614 | lr=7.89e-03 | 142.3s | R@1=1.0/2.3 R@5=3.7/6.8 mR=5.0
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
07:18:02 | INFO    | __main__ | Epoch   3/200 | loss=3.9299 | lr=7.99e-03 | 211.3s | R@1=1.1/1.6 R@5=3.7/5.0 mR=4.2
07:20:56 | INFO    | __main__ | Epoch   4/200 | loss=3.8923 | lr=7.95e-03 | 147.3s | R@1=1.0/2.0 R@5=3.1/5.9 mR=4.4
07:23:53 | INFO    | __main__ | Epoch   5/200 | loss=4.1036 | lr=7.88e-03 | 146.8s | R@1=1.2/1.8 R@5=4.3/5.5 mR=4.6
07:26:36 | INFO    | __main__ | Epoch   6/200 | loss=4.1053 | lr=7.79e-03 | 137.3s | R@1=1.1/1.3 R@5=3.5/4.1 mR=3.6
07:29:21 | INFO    | __main__ | Epoch   7/200 | loss=4.2749 | lr=7.68e-03 | 138.1s | R@1=1.2/1.4 R@5=3.8/4.4 mR=4.0
07:32:07 | INFO    | __main__ | Epoch   8/200 | loss=4.0609 | lr=7.54e-03 | 141.0s | R@1=0.7/1.2 R@5=2.1/3.8 mR=2.9
07:34:52 | INFO    | __main__ | Epoch   9/200 | loss=4.0173 | lr=7.38e-03 | 140.6s | R@1=0.8/1.8 R@5=2.7/5.5 mR=3.9
07:37:37 | INFO    | __main__ | Epoch  10/200 | loss=4.0755 | lr=7.19e-03 | 139.8s | R@1=1.5/2.1 R@5=4.6/6.3 mR=5.2
07:40:25 | INFO    | __main__ | Epoch  11/200 | loss=3.9388 | lr=6.99e-03 | 143.8s | R@1=0.7/1.2 R@5=2.1/3.9 mR=2.9
07:43:11 | INFO    | __main__ | Epoch  12/200 | loss=3.7852 | lr=6.76e-03 | 140.2s | R@1=1.1/2.1 R@5=3.5/6.4 mR=4.7
07:45:59 | INFO    | __main__ | Epoch  13/200 | loss=3.7645 | lr=6.52e-03 | 143.2s | R@1=0.8/1.2 R@5=2.5/3.9 mR=3.1
07:48:46 | INFO    | __main__ | Epoch  14/200 | loss=3.7661 | lr=6.26e-03 | 141.6s | R@1=1.9/3.1 R@5=5.9/9.1 mR=7.1
07:48:46 | INFO    | __main__ |   ↑ New best mean recall: 7.12
07:51:34 | INFO    | __main__ | Epoch  15/200 | loss=3.8280 | lr=5.98e-03 | 143.1s | R@1=1.6/2.3 R@5=5.1/6.9 mR=5.7
07:54:22 | INFO    | __main__ | Epoch  16/200 | loss=3.6075 | lr=5.70e-03 | 143.2s | R@1=1.7/2.6 R@5=5.2/7.4 mR=6.0
07:57:09 | INFO    | __main__ | Epoch  17/200 | loss=3.5453 | lr=5.40e-03 | 141.9s | R@1=0.7/1.3 R@5=2.3/4.2 mR=3.1
08:00:05 | INFO    | __main__ | Epoch  18/200 | loss=3.4884 | lr=5.09e-03 | 150.7s | R@1=2.3/3.0 R@5=6.8/8.7 mR=7.4
08:00:05 | INFO    | __main__ |   ↑ New best mean recall: 7.35
08:02:59 | INFO    | __main__ | Epoch  19/200 | loss=3.2797 | lr=4.77e-03 | 148.0s | R@1=2.7/3.3 R@5=7.9/9.5 mR=8.2
08:02:59 | INFO    | __main__ |   ↑ New best mean recall: 8.17
08:05:47 | INFO    | __main__ | Epoch  20/200 | loss=3.2186 | lr=4.45e-03 | 143.6s | R@1=1.5/3.0 R@5=4.8/8.4 mR=6.3
08:08:36 | INFO    | __main__ | Epoch  21/200 | loss=3.2978 | lr=4.13e-03 | 144.3s | R@1=2.1/2.8 R@5=7.0/8.3 mR=7.2
08:11:24 | INFO    | __main__ | Epoch  22/200 | loss=3.1105 | lr=3.80e-03 | 143.3s | R@1=3.1/3.9 R@5=9.0/10.8 mR=9.3
08:11:25 | INFO    | __main__ |   ↑ New best mean recall: 9.32
08:14:11 | INFO    | __main__ | Epoch  23/200 | loss=2.9322 | lr=3.48e-03 | 142.0s | R@1=1.9/3.4 R@5=5.7/9.6 mR=7.3
08:16:59 | INFO    | __main__ | Epoch  24/200 | loss=2.9549 | lr=3.16e-03 | 142.7s | R@1=3.5/4.2 R@5=10.4/11.6 mR=10.3
08:16:59 | INFO    | __main__ |   ↑ New best mean recall: 10.28
08:19:49 | INFO    | __main__ | Epoch  25/200 | loss=2.8410 | lr=2.85e-03 | 145.0s | R@1=3.7/4.7 R@5=10.2/12.5 mR=10.7
08:19:49 | INFO    | __main__ |   ↑ New best mean recall: 10.65
08:22:38 | INFO    | __main__ | Epoch  26/200 | loss=2.7979 | lr=2.54e-03 | 144.1s | R@1=4.0/4.8 R@5=11.4/12.9 mR=11.4
08:22:38 | INFO    | __main__ |   ↑ New best mean recall: 11.38
08:25:28 | INFO    | __main__ | Epoch  27/200 | loss=2.7299 | lr=2.24e-03 | 144.5s | R@1=4.0/4.6 R@5=11.0/12.2 mR=10.9
