01:10:30 | INFO    | __main__ | wandb logging enabled (project=HybridPool, run=hybrid_m32_k128_cls).
01:10:30 | INFO    | __main__ | Starting training for 20 epochs...
01:10:30 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=256 lr=1.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
01:10:40 | INFO    | __main__ | Epoch   1/20 | loss=3.9907 val=4.0886 | lr=5.01e-04 | 3.3s | R@1=1.7/2.2 R@5=5.8/7.0 mR=6.1
01:10:40 | INFO    | __main__ |   ↑ New best mean recall: 6.09
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
01:10:49 | INFO    | __main__ | Epoch   2/20 | loss=1.8878 val=3.6359 | lr=1.00e-03 | 2.7s | R@1=3.4/3.8 R@5=10.4/11.6 mR=10.3
01:10:49 | INFO    | __main__ |   ↑ New best mean recall: 10.34
01:10:57 | INFO    | __main__ | Epoch   3/20 | loss=1.7493 val=3.6062 | lr=9.92e-04 | 2.7s | R@1=3.6/4.1 R@5=10.9/12.1 mR=10.8
01:10:57 | INFO    | __main__ |   ↑ New best mean recall: 10.84
01:11:05 | INFO    | __main__ | Epoch   4/20 | loss=1.7419 val=3.6059 | lr=9.70e-04 | 2.6s | R@1=3.7/4.2 R@5=11.0/12.3 mR=11.0
01:11:05 | INFO    | __main__ |   ↑ New best mean recall: 10.98
01:11:14 | INFO    | __main__ | Epoch   5/20 | loss=1.7396 val=3.6045 | lr=9.33e-04 | 2.5s | R@1=3.7/4.1 R@5=11.0/12.2 mR=11.0
01:11:14 | INFO    | __main__ |   ↑ New best mean recall: 10.98
01:11:22 | INFO    | __main__ | Epoch   6/20 | loss=1.7377 val=3.6018 | lr=8.83e-04 | 3.0s | R@1=3.6/4.1 R@5=11.2/12.3 mR=11.0
01:11:29 | INFO    | __main__ | Epoch   7/20 | loss=1.7346 val=3.5994 | lr=8.22e-04 | 3.4s | R@1=3.7/4.2 R@5=11.1/12.3 mR=11.0
01:11:29 | INFO    | __main__ |   ↑ New best mean recall: 11.05
01:11:36 | INFO    | __main__ | Epoch   8/20 | loss=1.7328 val=3.6009 | lr=7.50e-04 | 1.8s | R@1=3.7/4.2 R@5=11.1/12.4 mR=11.0
01:11:43 | INFO    | __main__ | Epoch   9/20 | loss=1.7310 val=3.5960 | lr=6.71e-04 | 2.5s | R@1=3.7/4.1 R@5=11.1/12.5 mR=11.0
01:11:50 | INFO    | __main__ | Epoch  10/20 | loss=1.7284 val=3.5978 | lr=5.87e-04 | 1.9s | R@1=3.7/4.2 R@5=11.1/12.4 mR=11.1
01:11:50 | INFO    | __main__ |   ↑ New best mean recall: 11.06
01:11:57 | INFO    | __main__ | Epoch  11/20 | loss=1.7261 val=3.5937 | lr=5.00e-04 | 2.2s | R@1=3.7/4.2 R@5=11.3/12.5 mR=11.1
01:11:57 | INFO    | __main__ |   ↑ New best mean recall: 11.11
01:12:06 | INFO    | __main__ | Epoch  12/20 | loss=1.7215 val=3.5914 | lr=4.14e-04 | 2.4s | R@1=3.8/4.2 R@5=11.5/12.6 mR=11.3
01:12:06 | INFO    | __main__ |   ↑ New best mean recall: 11.26
01:12:13 | INFO    | __main__ | Epoch  13/20 | loss=1.7195 val=3.5903 | lr=3.30e-04 | 1.7s | R@1=3.8/4.2 R@5=11.3/12.5 mR=11.2
01:12:19 | INFO    | __main__ | Epoch  14/20 | loss=1.7148 val=3.5886 | lr=2.51e-04 | 1.8s | R@1=3.8/4.2 R@5=11.5/12.8 mR=11.3
01:12:19 | INFO    | __main__ |   ↑ New best mean recall: 11.31
01:12:26 | INFO    | __main__ | Epoch  15/20 | loss=1.7125 val=3.5873 | lr=1.79e-04 | 1.8s | R@1=3.8/4.3 R@5=11.4/12.6 mR=11.3
01:12:33 | INFO    | __main__ | Epoch  16/20 | loss=1.7099 val=3.5863 | lr=1.18e-04 | 1.9s | R@1=3.7/4.3 R@5=11.4/12.7 mR=11.3
01:12:39 | INFO    | __main__ | Epoch  17/20 | loss=1.7061 val=3.5853 | lr=6.79e-05 | 1.9s | R@1=3.8/4.3 R@5=11.4/12.7 mR=11.3
01:12:39 | INFO    | __main__ |   ↑ New best mean recall: 11.32
01:12:45 | INFO    | __main__ | Epoch  18/20 | loss=1.7057 val=3.5851 | lr=3.11e-05 | 2.0s | R@1=3.8/4.3 R@5=11.4/12.7 mR=11.3
01:12:52 | INFO    | __main__ | Epoch  19/20 | loss=1.7021 val=3.5851 | lr=8.59e-06 | 2.0s | R@1=3.8/4.3 R@5=11.5/12.7 mR=11.3
01:12:58 | INFO    | __main__ | Epoch  20/20 | loss=1.7025 val=3.5851 | lr=1.00e-06 | 2.1s | R@1=3.8/4.3 R@5=11.5/12.7 mR=11.3
